label,cell_id,classification,x,y,width,height,area,centroid_x,centroid_y
1,c2c897d3-0a1c-40ae-a94e-e02b9252c18d,"Unclassified",261.0,278.0,34.0,23.0,598.0,277.3946533203125,290.4264221191406
2,f1fd9206-00fa-46c6-87ea-1f33ad99d50d,"Unclassified",596.0,386.0,30.0,25.0,519.0,612.2996215820312,399.28033447265625
3,f7e85319-d423-4211-b6a8-fe89ff50aafa,"Unclassified",538.0,394.0,30.0,21.0,501.0,553.3562622070312,404.4760437011719
4,33ad606f-4cd1-4875-a1a7-fe9a77e144b5,"Unclassified",62.0,402.0,25.0,25.0,477.0,74.38469696044922,414.6446533203125
5,0d15d120-5ff4-486e-8005-33bfbb812dcd,"Unclassified",148.0,623.0,24.0,31.0,456.0,160.67762756347656,639.4122924804688
6,dc0c6aa1-234a-49dc-86ef-29da77513483,"Unclassified",816.0,295.0,22.0,27.0,452.0,826.6017456054688,308.18585205078125
7,8693c091-81c5-4ed9-9db2-ce4dd1f85fef,"Unclassified",777.0,385.0,23.0,27.0,430.0,788.5557861328125,398.34417724609375
8,1b5f1773-645d-459d-8bb4-87026b77f7d2,"Unclassified",808.0,559.0,23.0,26.0,429.0,819.278564453125,572.2225952148438
9,20ff8bee-201e-4241-9196-8106a74d5553,"Unclassified",831.0,481.0,22.0,25.0,422.0,842.1801147460938,493.7298583984375
10,1f7b4a2a-5bd5-427a-9d1d-45c5af4647f5,"Unclassified",779.0,573.0,23.0,24.0,418.0,790.1698608398438,584.868408203125
11,fcccdc39-7c2f-4a44-b426-ca04dd208a56,"Unclassified",824.0,543.0,25.0,24.0,414.0,836.4951782226562,555.067626953125
12,156dcdcb-88a3-41da-8a81-68ccf0458c44,"Unclassified",778.0,550.0,27.0,20.0,414.0,791.840576171875,560.6956787109375
13,5a62a565-0454-4b33-9092-31ba289c9bb3,"Unclassified",284.0,27.0,18.0,34.0,410.0,293.0243835449219,44.64390182495117
14,2267a7e1-6583-4599-a8bb-3331e1058f3a,"Unclassified",398.0,450.0,23.0,23.0,409.0,409.3533020019531,461.4388732910156
15,56eecf5a-3bb1-4051-b8ca-c7852992110c,"Unclassified",842.0,513.0,22.0,25.0,408.0,853.188720703125,525.4534301757812
