index,ObjectID,x0,y0,width,height,file
0,507f0e13-8f57-4bbe-a54b-40e02daf53f7,261,278,34,23,0.png
1,01caba92-9406-46a3-bada-baf5b66e4be2,596,386,30,25,1.png
2,92934d61-0883-4ca3-ba4b-94b65e4cebab,538,394,30,21,2.png
3,f442286e-2b53-4e9a-b391-e83cecdfc1d5,62,402,25,25,3.png
4,0d20fb90-855e-46c3-9cb6-853ce2ce0390,148,623,24,31,4.png
5,359682be-218b-4ddb-a34a-a6bde23ba5f2,816,295,22,27,5.png
6,be9e8b0a-91b9-4ec8-a48a-71533601ac76,777,385,23,27,6.png
7,897cb6e5-d532-4822-add4-ccd739a3dee2,808,559,23,26,7.png
8,317a048e-df3e-454e-9786-a619ab76460a,831,481,22,25,8.png
9,3a142088-09be-4475-9819-b88b09e2946c,779,573,23,24,9.png
10,3855c020-4e89-47b2-9edc-53b5904a8391,824,543,25,24,10.png
11,428163cf-5cd5-49fe-849c-65280390b117,778,550,27,20,11.png
12,f0103841-7ee1-4ba9-a657-11b02e619867,284,27,18,34,12.png
13,2682a028-bca2-45e9-8232-e5c82d17b672,398,450,23,23,13.png
14,fdf9ae76-4b33-44d0-a207-a90e2ec20ede,842,513,22,25,14.png
15,a5116d9a-004a-44d9-98f4-837d9696f292,77,459,30,18,15.png
16,904d3eef-2784-4a46-843d-7f4df68b8083,340,25,26,20,16.png
17,802282ef-e700-44ef-8fdb-bca050410516,250,305,26,21,17.png
18,bcc0b70b-f952-4f69-9622-f63b13adcff6,289,154,21,34,18.png
19,fd0d3557-6b2a-4bdf-84c0-031b906c99f0,869,644,24,21,19.png
20,696fc56d-f477-4a65-b7f8-0ee232c07fa8,395,307,24,23,20.png
21,5bae2de7-d452-4985-92af-3434d84d82b2,172,41,29,18,21.png
22,df60cb2d-6cb5-4112-8d9d-b3f314e11450,805,726,18,32,22.png
23,065ad5e7-75b2-4dac-b281-3cc0a9681b9a,128,373,23,21,23.png
24,1d848bb6-5281-40c4-a4fe-4a937c51ecb4,470,590,16,29,24.png
25,55280be0-155e-4057-9ebe-af16e022f70c,232,633,15,32,25.png
26,398399c8-05b7-4b6d-95fe-ac80f2414134,430,542,32,17,26.png
27,3edfd706-b3ec-49c0-95ce-6e3be8d263d3,46,460,25,20,27.png
28,e1d3d448-3f99-4836-9532-d46744550d62,49,40,17,28,28.png
29,5e980f28-f77b-4089-a612-f150eab2fb96,187,295,23,21,29.png
30,b39fdc4c-24e9-4f93-984b-a4e637505af2,427,133,20,24,30.png
31,c81b6883-a8ff-4dd6-b6e8-94a486a407c2,175,282,22,25,31.png
32,00b5da51-76a4-41e3-b7c6-7fc030188311,431,607,21,20,32.png
33,184c1ab5-4c31-44e3-8dc6-8b6dcd3b22dc,320,63,17,27,33.png
34,a0303a5d-be6e-434e-9660-731a58f9c231,180,232,18,25,34.png
35,00bee03b-f319-442b-8852-52ae1f4a2d9f,116,169,25,17,35.png
36,08311f02-f484-49dd-8b62-f603a38c8163,216,471,20,23,36.png
37,cd5c8a32-e36c-4592-a061-3e04ae6b9853,795,346,29,23,37.png
38,986f0e52-cb5a-4dcd-935b-6bd186d3f182,92,131,21,21,38.png
39,e1d8dc7b-8618-4889-ab18-07458d939d13,574,360,22,25,39.png
40,2c43da82-e360-4ced-a71e-45c6c407be91,169,266,22,24,40.png
41,5e3cbcfe-8ff1-4427-9c75-04423f65244c,20,671,21,25,41.png
42,315288f9-ac84-4a4d-b661-878f2fcb0eb5,103,186,24,19,42.png
43,029067af-38d8-46ca-89b2-830c7ab304f7,226,303,19,21,43.png
44,bfa78480-5abf-4d0a-b1d4-8d2518117711,584,372,19,25,44.png
45,11335f65-882c-494d-8d7b-db50bd6a3518,604,672,26,22,45.png
46,5fe91502-fca1-4f8c-bfc5-2f161b8385a3,114,458,23,19,46.png
47,e9c9fa71-f949-4d46-910e-f850a0c5d382,104,658,21,21,47.png
48,40e7613b-402e-49b9-87ae-1123a6e01364,751,203,24,17,48.png
49,a14bb67c-ede9-47e5-b74c-08d7c5be4164,855,370,23,22,49.png
50,d48c1589-82d9-4859-ab0c-9321b910e762,42,186,22,19,50.png
51,56d90381-3679-43ad-8413-ce16635d079f,520,539,33,23,51.png
52,9945a500-3c83-4b46-a913-0687dde4b0b4,72,379,21,21,52.png
53,251daec2-8b81-47d6-b6b7-86fd3bf16de2,774,306,14,28,53.png
54,c9b6c0da-653e-45c8-9ac8-7b42487d23f3,783,63,30,19,54.png
55,51ef00b2-38e7-441a-a1b5-5e4c17a07a98,418,164,18,25,55.png
56,6512190c-6269-4f5d-a049-1c8eee9b8566,504,715,20,22,56.png
57,aa70783f-4c99-4d46-88c8-5bc867636b2f,189,127,23,20,57.png
58,e644cdf5-1bc0-426b-8930-d141fca06efd,603,641,16,24,58.png
59,dccbc729-81b9-4168-ba7b-e4fb79c05f69,866,625,26,16,59.png
60,b7291e5f-18c0-49fe-9fbe-82222e17e8a7,106,606,18,24,60.png
61,814381df-cf0f-4ae0-a845-ed2698f9dfdd,837,326,24,19,61.png
62,c7964b9e-e838-4c63-a8b3-7f4f61071e68,809,271,19,21,62.png
63,6472a806-dd60-4cc2-95af-e2ed67e50937,789,525,19,21,63.png
64,60968f4c-0fc9-40df-a3db-101432e03638,689,179,21,21,64.png
65,f592538b-97eb-442f-ac0d-7d99b3b43ac8,67,197,17,24,65.png
66,049790c8-975e-4e22-8b36-9d29892ac578,156,265,21,22,66.png
67,138ea9bc-fcc6-4390-9a49-6d7c7fa14f1f,433,174,20,20,67.png
68,f192ca4b-c489-4b30-9bd2-a8cad4ba0dbf,9,695,19,23,68.png
69,ca4a3e09-136a-4d26-981f-a6e8ff676f74,52,123,17,22,69.png
70,32658373-b496-4ecb-9e1d-4d0c97a85826,567,500,14,26,70.png
71,f1a9fd39-582d-4a28-a0bd-bc2099a457d1,142,689,20,19,71.png
72,73dc8c3b-456b-4246-96c9-c13791a8ef42,362,185,20,23,72.png
73,95d90c98-529d-4eec-b3a1-9758594280a5,791,659,12,32,73.png
74,4e7b4c3b-f3ee-446a-8350-0822c2559a7f,159,292,19,21,74.png
75,8b327170-2a03-4bcd-b6ce-9745d71c6c04,139,616,18,28,75.png
76,1ccc1836-9b9c-4daf-89dc-7bd7d4608ad1,481,401,26,14,76.png
77,3f525100-4afc-4d6a-bdb6-0276cb610130,662,317,28,14,77.png
78,ba24c330-6f37-4586-8995-70f51a01a32a,44,410,19,21,78.png
79,f23a59ad-65da-4c4f-ba9b-cd7e1cd95726,194,111,21,18,79.png
80,6096ec45-cbae-4325-9812-610c04bb534f,203,229,20,19,80.png
81,49bc99b3-0653-41da-80ac-57d6094515ad,228,405,15,25,81.png
82,cbe23579-3b75-473f-9cd8-97e281a3018b,472,286,16,22,82.png
83,566b48b2-3d44-4dda-bd37-5a5252cbdf16,143,426,18,21,83.png
84,ca3bb1e5-2565-42dd-90ad-582da4c0f8a6,474,696,16,23,84.png
85,5f6e6dd6-d6a0-4088-9636-848d1eaac34f,829,673,19,21,85.png
86,f5b2380f-02d0-49cb-8505-371ebaa81e22,174,613,17,22,86.png
87,1a15b6a0-66dc-49e3-9ae3-5ab14f52f591,664,559,16,24,87.png
88,6b819d49-cd1f-4a5e-b874-c1f0153db1f9,687,726,20,21,88.png
89,6e965d35-8ce5-438e-ac14-05aaafba342a,105,145,22,20,89.png
90,e20bf79c-3103-4238-9635-351681b7ae79,242,245,24,15,90.png
91,21d3e21a-ce6a-474d-877e-37223fd873e9,125,702,19,20,91.png
92,8308484e-b01d-4678-acd0-08b78b19e603,768,282,18,27,92.png
93,0bf734f9-8c42-4e5a-8e79-199d4cd24545,266,248,21,18,93.png
94,a300f7b2-bbdb-434e-bf48-da0995a7a2b2,536,513,15,24,94.png
95,81135405-0923-4421-a8d7-78a15944044b,33,127,20,21,95.png
96,7e072958-a85c-4924-b5ab-801f3b035056,553,146,14,31,96.png
97,c44578f2-4d0a-4b5a-97aa-019efdb684c9,440,151,18,21,97.png
98,0d30d46b-8f93-43f5-8f3a-3ef7adf73a44,166,463,17,21,98.png
99,d3771446-a2e3-400b-9dfd-b598ed140cbc,408,569,22,25,99.png
100,190f2fda-fe44-4d95-9d56-e0fc87aefa4f,868,467,15,23,100.png
101,c93d8a4c-3ec0-4a01-9343-8ff6269f9131,684,566,14,29,101.png
102,dd1e6eae-2c80-4c69-8663-61a4c1ad959a,28,702,21,23,102.png
103,8fcc2f55-76d2-4149-9077-a37ab3c2654b,810,484,21,18,103.png
104,f1749f37-1e8b-463a-9441-20be295840b4,488,516,18,20,104.png
105,0ab73018-5846-42fa-bfd7-f116846e327a,282,657,16,25,105.png
106,229b1698-ecb8-4512-a477-c5ed7a925c5e,459,306,17,21,106.png
107,2066c06d-d3f9-44a9-ae38-76ac2ecbf3ba,206,311,18,18,107.png
108,9cf21da0-cf4d-41f3-aa2c-15236fb3809e,585,635,22,18,108.png
109,5c8f42e1-8fc2-41b2-b7e7-c1722623b7f9,397,160,23,16,109.png
110,2752cb3e-a924-4122-bf4d-ae66cc74df7e,795,283,17,21,110.png
111,1a9bde8a-bea6-4e04-89d0-de2c5c53f438,534,61,25,14,111.png
112,baac56be-51bc-4be0-bb5b-3f0b3fe6e040,779,443,27,23,112.png
113,a10368ad-0467-4fd2-99a6-aa7fbef63fbd,58,301,19,18,113.png
114,85796897-51b1-49cd-8bf0-f2c1f46c3065,508,410,15,26,114.png
115,723f3e9c-a95f-4f82-8e9a-af8493824ec3,210,494,17,20,115.png
116,4d65a063-395c-4e87-ad7d-8a22684d35e7,592,584,21,20,116.png
117,fed1e03d-97e4-4476-98dd-896134682a48,715,317,11,31,117.png
118,6430742b-5584-4ba8-aa76-0be74fc63536,842,440,19,21,118.png
119,b6ad6efa-387f-44f0-a1d3-56123a3e39a1,285,352,21,17,119.png
120,0680c95b-09a6-472c-a8a2-503a60836bff,688,609,18,30,120.png
121,a01f2b66-d9b0-488a-922d-ef890ffee572,453,722,17,21,121.png
122,d242d88d-6cb3-42e7-b888-6abbc01f56f4,582,415,21,17,122.png
123,3e9f4d23-ea03-469e-8d5e-680ef1d92d65,678,519,13,25,123.png
124,c687e7d9-ed9a-4ab1-83af-d77eaca34f39,730,673,16,20,124.png
125,0301cc53-faa4-4e0e-ae37-b938ac73d405,266,27,17,25,125.png
126,a2e6087c-a31c-477c-9cc9-9ebccbedf77c,632,355,17,22,126.png
127,eb6453ed-62b3-4dc3-bf0f-82f75ccbdf1a,20,737,17,21,127.png
128,38ecb104-f08a-42f6-afbc-2e0110b2fd81,391,195,19,25,128.png
129,c83d07e9-38b1-4451-b4f6-7a37b52fdcbc,678,210,17,23,129.png
130,6a4521c2-6229-47f2-a1c2-248ed0f7a59f,832,693,21,18,130.png
