Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm,shape2D_MeshSurfaceArea,shape2D_PixelSurface,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_Sphericity,shape2D_SphericalDisproportion,shape2D_MajorAxisLength,shape2D_MinorAxisLength,shape2D_Elongation,shape2D_Flatness,shape_VoxelVolume,shape_MeshVolume,shape_SurfaceArea,shape_SurfaceVolumeRatio,shape_Sphericity,shape_Compactness1,shape_Compactness2,shape_SphericalDisproportion,shape_Maximum3DDiameter,shape_Maximum2DDiameterSlice,shape_Maximum2DDiameterColumn,shape_Maximum2DDiameterRow,shape_MajorAxisLength,shape_MinorAxisLength,shape_LeastAxisLength,shape_Elongation,firstorder_Energy,firstorder_TotalEnergy,firstorder_Entropy,firstorder_Minimum,firstorder_10Percentile,firstorder_90Percentile,firstorder_Maximum,firstorder_Mean,firstorder_Median,firstorder_InterquartileRange,firstorder_Range,firstorder_MeanAbsoluteDeviation,firstorder_RobustMeanAbsoluteDeviation,firstorder_RootMeanSquared,firstorder_Variance,firstorder_StandardDeviation,firstorder_Skewness,firstorder_Kurtosis,firstorder_Uniformity,glcm_Autocorrelation,glcm_JointAverage,glcm_ClusterProminence,glcm_ClusterShade,glcm_ClusterTendency,glcm_Contrast,glcm_Correlation,glcm_JointEnergy,glcm_JointEntropy,glcm_Idm,glcm_Idmn,glcm_Id,glcm_Idn,glcm_InverseVariance,glcm_MaximumProbability,glcm_SumSquares,glcm_DifferenceAverage,glcm_DifferenceEntropy,glcm_DifferenceVariance,glcm_SumAverage,glcm_SumEntropy,glcm_Imc1,glcm_Imc2,glrlm_ShortRunEmphasis,glrlm_LongRunEmphasis,glrlm_GrayLevelNonUniformity,glrlm_GrayLevelNonUniformityNormalized,glrlm_RunLengthNonUniformity,glrlm_RunLengthNonUniformityNormalized,glrlm_RunPercentage,glrlm_GrayLevelVariance,glrlm_RunVariance,glrlm_RunEntropy,glrlm_LowGrayLevelRunEmphasis,glrlm_HighGrayLevelRunEmphasis,glrlm_ShortRunLowGrayLevelEmphasis,glrlm_ShortRunHighGrayLevelEmphasis,glrlm_LongRunLowGrayLevelEmphasis,glrlm_LongRunHighGrayLevelEmphasis,glszm_SmallAreaEmphasis,glszm_LargeAreaEmphasis,glszm_GrayLevelNonUniformity,glszm_GrayLevelNonUniformityNormalized,glszm_SizeZoneNonUniformity,glszm_SizeZoneNonUniformityNormalized,glszm_ZonePercentage,glszm_GrayLevelVariance,glszm_ZoneVariance,glszm_ZoneEntropy,glszm_LowGrayLevelZoneEmphasis,glszm_HighGrayLevelZoneEmphasis,glszm_SmallAreaLowGrayLevelEmphasis,glszm_SmallAreaHighGrayLevelEmphasis,glszm_LargeAreaLowGrayLevelEmphasis,glszm_LargeAreaHighGrayLevelEmphasis,ngtdm_Coarseness,ngtdm_Contrast,ngtdm_Busyness,ngtdm_Complexity,ngtdm_Strength,gldm_SmallDependenceEmphasis,gldm_LargeDependenceEmphasis,gldm_GrayLevelNonUniformity,gldm_DependenceNonUniformity,gldm_DependenceNonUniformityNormalized,gldm_DependencePercentage,gldm_GrayLevelVariance,gldm_DependenceVariance,gldm_DependenceEntropy,gldm_LowGrayLevelEmphasis,gldm_HighGrayLevelEmphasis,gldm_SmallDependenceLowGrayLevelEmphasis,gldm_SmallDependenceHighGrayLevelEmphasis,gldm_LargeDependenceLowGrayLevelEmphasis,gldm_LargeDependenceHighGrayLevelEmphasis,Centroid_X,Centroid_Y
ytma10_010704_benign1_ccd.tif,c2c897d3-0a1c-40ae-a94e-e02b9252c18d,Annotation,,,Root object (Image),Polygon,138.7,145.21,149.5,57,598,598,114,0.1906,0.5782,1.7294,33.3789,23.422,0.7017,0.7017,598,598,114,0.1906,0.5782,0.2772,27.2986,1.7294,41.0488,41.0488,34,23,33.3789,23.422,23.422,0.7017,10921860,10921860,1.4443,91,113,152,180,134.2441,135,20,89,12.287,8.5485,135.1443,242.4889,15.5721,-0.0985,3.027,0.4535,8.5562,2.8721,8.0388,-0.0978,1.5036,0.2737,0.692,0.2896,2.4507,0.8648,0.9895,0.8649,0.9549,0.2687,0.4967,0.4443,0.271,0.8531,0.2002,5.7441,2.1677,-0.3152,0,0.3375,25.0755,111.8302,0.3517,50.0692,0.1575,0.5318,0.648,10.9303,4.6477,0.1738,8.783,0.0605,3.2595,3.3106,222.3396,0.2008,6361.2727,5.6364,0.2562,2.2727,0.1033,0.0368,1.3306,5622.4215,4.1867,0.2578,9.2727,0.0362,2.1561,729.5218,57216,0.0192,0.0104,3.1305,2.3987,0.1735,0.0406,46.0368,271.1906,93.0736,0.1556,1,0.4387,3.8085,4.0983,0.1527,8.6923,0.007,0.3757,6.3524,401.3344,277.3947,290.4264
ytma10_010704_benign1_ccd.tif,f1fd9206-00fa-46c6-87ea-1f33ad99d50d,Annotation,,,Root object (Image),Polygon,306.15,199.64,129.75,55,519,519,110,0.2119,0.539,1.8553,34.0153,19.8441,0.5834,0.5834,519,519,110,0.2119,0.539,0.2538,22.8881,1.8553,39.0512,39.0512,30,25,34.0153,19.8441,19.8441,0.5834,6710584,6710584,1.3313,66,98,128,153,112.8092,115,17,87,10.8264,7.1077,113.7094,203.9077,14.2796,-0.935,4.3854,0.5101,9.3786,3.0123,10.2355,-1.3746,1.4315,0.214,0.7399,0.3766,2.1584,0.8936,0.9918,0.8937,0.9645,0.2121,0.591,0.4114,0.213,0.7513,0.1686,6.0247,1.94,-0.3726,0,0.2754,38.1966,82.0598,0.3507,34.4103,0.1471,0.4509,0.6534,18.5194,4.7037,0.1581,9.7821,0.0433,2.7644,4.7384,355.5897,0.2393,10809.75,3.1667,0.2639,1.6667,0.1389,0.0231,1.3333,8939.1875,3.585,0.2094,10.3333,0.0202,4.0611,1217.3934,98970.8333,0.0275,0.0077,1.9036,1.9225,0.2466,0.0333,51.1773,264.7457,101.1002,0.1948,1,0.41,3.5699,3.6907,0.1426,9.5376,0.0047,0.3574,6.8129,484.5356,612.2996,399.2803
ytma10_010704_benign1_ccd.tif,f7e85319-d423-4211-b6a8-fe89ff50aafa,Annotation,,,Root object (Image),Polygon,276.68,202.24,125.25,51,501,501,102,0.2036,0.6051,1.6525,30.3871,21.1023,0.6944,0.6944,501,501,102,0.2036,0.6051,0.2744,26.7502,1.6525,36.6197,36.6197,30,21,30.3871,21.1023,21.1023,0.6944,6336199,6336199,1.2463,71,97,133,150,111.5749,110,14,79,10.4489,6.6291,112.4593,198.1566,14.0768,0.3575,3.4628,0.5255,9.4002,3.0253,4.9359,0.0413,1.1337,0.1421,0.7772,0.437,1.8641,0.929,0.9945,0.929,0.9763,0.1421,0.6392,0.3189,0.1421,0.5897,0.1219,6.0506,1.722,-0.4759,0,0.2016,63.4233,56.3129,0.3455,14.5337,0.0892,0.3253,0.6356,25.6348,5.0988,0.1437,9.9325,0.0381,2.21,7.2758,600.4785,0.1951,14092.1111,2.3333,0.2593,1.6667,0.1852,0.018,1.5556,10993.3333,3.1699,0.2321,10.5556,0.0429,2.6158,1579.8125,128729,0.0369,0.0046,1.4087,1.4542,0.3311,0.0274,58.489,263.2914,132.9441,0.2654,1,0.3294,3.2079,3.3881,0.1238,9.5948,0.0042,0.2852,6.9159,553.2475,553.3563,404.476
ytma10_010704_benign1_ccd.tif,33ad606f-4cd1-4875-a1a7-fe9a77e144b5,Annotation,,,Root object (Image),Polygon,37.19,207.32,119.25,50,477,477,100,0.2096,0.5994,1.6683,26.9079,22.7073,0.8439,0.8439,477,477,100,0.2096,0.5994,0.2691,25.7329,1.6683,35.3553,35.3553,25,25,26.9079,22.7073,22.7073,0.8439,5520672,5520672,1.299,75,89,125,144,106.7002,106,18,69,10.9113,7.867,107.5813,188.8011,13.7405,0.2306,2.9044,0.4582,3.4835,1.7918,4.266,0.2278,1.2671,0.1757,0.7564,0.3316,2.0349,0.9121,0.9824,0.9121,0.9561,0.1757,0.5081,0.3607,0.1757,0.6706,0.1448,3.5837,1.8592,-0.43,0,0.2343,40.7701,76.9893,0.4117,19.877,0.1063,0.392,0.4302,14.7437,4.7836,0.4753,3.7166,0.0943,1.0232,17.1878,148.1711,0.3435,9915.8889,3.2222,0.358,1.6667,0.1852,0.0189,0.5432,7106.8889,2.9477,0.3704,5,0.0695,1.9643,3334.3426,37163.5556,0.0283,0.021,9.9046,0.5267,0.0772,0.032,54.7484,218.5849,97.2683,0.2039,1,0.362,3.252,3.8056,0.4624,3.5975,0.0128,0.1351,24.7606,195.7945,74.3847,414.6447
ytma10_010704_benign1_ccd.tif,0d15d120-5ff4-486e-8005-33bfbb812dcd,Annotation,,,Root object (Image),Polygon,80.34,319.71,114,55,456,456,110,0.2412,0.4736,2.1116,33.8773,17.465,0.5155,0.5155,456,456,110,0.2412,0.4736,0.223,17.6687,2.1116,39.2046,39.2046,24,31,33.8773,17.465,17.465,0.5155,6934373,6934373,1.558,86,101,143,180,122.1864,121,24,94,13.5646,10.1171,123.3165,277.4411,16.6566,0.4253,2.997,0.3972,6.1114,2.3906,9.6445,0.9319,1.7806,0.1952,0.8024,0.2885,2.3439,0.9024,0.9925,0.9024,0.9675,0.1952,0.4399,0.4939,0.1952,0.7122,0.1571,4.7812,2.1487,-0.465,0,0.3123,35.9598,62.9296,0.3162,26.005,0.1307,0.4364,0.802,14.9567,4.9869,0.2632,7.191,0.0829,2.697,7.7916,216.2714,0.3763,4267.8667,3.5333,0.2356,2.4667,0.1644,0.0329,1.7956,3343.7067,3.6402,0.3507,9.2667,0.0517,5.7806,942.7563,22349.5333,0.0363,0.0095,2.2068,1.9182,0.3385,0.0406,52.8991,181.1009,92.4956,0.2028,1,0.5173,4.0832,4.0395,0.2363,6.432,0.0089,0.3822,11.7941,324.3136,160.6776,639.4123
ytma10_010704_benign1_ccd.tif,dc0c6aa1-234a-49dc-86ef-29da77513483,Annotation,,,Root object (Image),Polygon,413.3,154.09,113,49,452,452,98,0.2168,0.5914,1.6908,27.3682,21.2093,0.775,0.775,452,452,98,0.2168,0.5914,0.2629,24.55,1.6908,34.8281,34.8281,22,27,27.3682,21.2093,21.2093,0.775,6179061,6179061,1.3213,83,98,135,176,115.9226,115,16,93,11.1506,6.9414,116.9209,232.4475,15.2462,0.7922,4.3858,0.5232,4.4905,2.0609,7.2064,0.8072,1.1792,0.2071,0.7012,0.4396,1.9751,0.905,0.9921,0.9059,0.9682,0.1805,0.6479,0.3466,0.1929,0.7361,0.1699,4.1219,1.7545,-0.377,0,0.3673,45.134,60.6701,0.3127,30.4742,0.1571,0.4292,0.7755,23.4203,4.2608,0.2408,7.5515,0.0421,4.233,13.6364,182.134,0.258,7965.5385,4.0769,0.3136,1.7692,0.1361,0.0288,0.9822,6756.6391,3.3927,0.166,11.9231,0.0183,4.2659,2115.8663,32021.4615,0.0332,0.0077,2.4165,1.9408,0.3753,0.0383,54.6947,236.4646,107.7168,0.2383,1,0.4122,4.4479,3.2569,0.3044,4.9137,0.0077,0.3556,17.7218,218.5111,826.6017,308.1859
ytma10_010704_benign1_ccd.tif,8693c091-81c5-4ed9-9db2-ce4dd1f85fef,Annotation,,,Root object (Image),Polygon,394.28,199.17,107.5,50,430,430,100,0.2326,0.5404,1.8506,30.2121,18.2023,0.6025,0.6025,430,430,100,0.2326,0.5404,0.2426,20.9117,1.8506,35.4683,35.4683,23,27,30.2121,18.2023,18.2023,0.6025,6528698,6528698,1.548,88,102,150,175,121.8651,118,25,87,14.8983,10.814,123.2194,331.912,18.2185,0.7392,2.8545,0.4175,5.7397,2.3268,8.3861,1.3805,1.6072,0.304,0.6819,0.3109,2.4367,0.8622,0.9885,0.8638,0.9539,0.2595,0.5231,0.4778,0.2803,0.9093,0.2254,4.6536,2.1044,-0.3084,0,0.4537,27.1111,71.1811,0.2929,51.8066,0.2132,0.5651,0.8536,14.5859,4.1808,0.2065,8.893,0.0666,5.4094,6.6056,134.1481,0.3521,4180.5556,8.5556,0.4753,3,0.1667,0.0419,1.1389,3609.8765,3.2391,0.1812,13.3889,0.0251,5.7183,959.7565,20376.7778,0.0293,0.0148,2.8194,2.5648,0.26,0.0529,46.707,179.5256,71.8047,0.167,1,0.5682,5.0895,3.8164,0.2361,6.3953,0.0085,0.5886,11.5553,234.5767,788.5558,398.3442
ytma10_010704_benign1_ccd.tif,1b5f1773-645d-459d-8bb4-87026b77f7d2,Annotation,,,Root object (Image),Polygon,409.64,286.11,107.25,49,429,429,98,0.2284,0.5613,1.7815,25.1908,21.7762,0.8645,0.8645,429,429,98,0.2284,0.5613,0.2495,22.1151,1.7815,34.7131,34.7131,23,26,25.1908,21.7762,21.7762,0.8645,6461216,6461216,1.4778,64,100,141,150,121.4685,123,21,86,13.3518,8.8512,122.7237,306.5054,17.5073,-1.0701,4.1596,0.4098,11.5953,3.3395,15.0981,-2.7111,1.9744,0.2017,0.8146,0.2864,2.3161,0.9006,0.9923,0.9008,0.9669,0.1971,0.3929,0.544,0.1993,0.7288,0.162,6.679,2.1062,-0.4575,0,0.3147,37.8901,64.6374,0.3552,23.022,0.1265,0.4242,0.7047,15.6656,4.9081,0.1392,11.4286,0.0381,3.8128,3.7851,465.6264,0.3771,8767.625,1.75,0.2188,1.75,0.2188,0.0186,1.7344,5891.9844,2.75,0.2097,13.125,0.0252,7.3887,784.9701,109576.375,0.0387,0.0087,1.2984,1.7281,0.3751,0.0359,52.711,175.8065,83.2098,0.194,1,0.5285,3.9066,3.9853,0.119,11.8112,0.0042,0.4709,5.6282,639.2331,819.2786,572.2226
ytma10_010704_benign1_ccd.tif,20ff8bee-201e-4241-9196-8106a74d5553,Annotation,,,Root object (Image),Polygon,421.09,246.86,105.5,47,422,422,94,0.2227,0.6002,1.6662,26.1694,20.6835,0.7904,0.7904,422,422,94,0.2227,0.6002,0.2612,24.249,1.6662,33.3017,33.3017,22,25,26.1694,20.6835,20.6835,0.7904,10677443,10677443,1.3357,126,139,176,191,158.4573,157,20,65,11.5316,8.5868,159.066,193.2671,13.9021,0.071,2.3685,0.4494,3.8163,1.8795,4.5772,0.0999,1.3018,0.1672,0.7724,0.3429,2.0359,0.9164,0.9833,0.9164,0.9582,0.1672,0.5346,0.3672,0.1672,0.6513,0.1392,3.7591,1.8687,-0.4496,0,0.2034,47.5414,59.0892,0.3764,16.0701,0.1024,0.372,0.5024,18.6422,4.7822,0.5032,3.7516,0.0964,0.8757,17.4009,186.051,0.0586,10896,2.7143,0.3878,1,0.1429,0.0166,0.8571,7261.6327,2.8074,0.5119,4.8571,0.0126,0.4717,3718.7817,41200.4286,0.0354,0.021,7.6083,0.4672,0.0918,0.027,55.237,189.6445,92.8057,0.2199,1,0.3809,3.2741,3.7154,0.4345,3.8412,0.0121,0.1123,22.0983,215.7749,842.1801,493.7299
ytma10_010704_benign1_ccd.tif,1f7b4a2a-5bd5-427a-9d1d-45c5af4647f5,Annotation,,,Root object (Image),Polygon,395.08,292.43,104.5,47,418,418,94,0.2249,0.5945,1.6822,23.9408,22.4108,0.9361,0.9361,418,418,94,0.2249,0.5945,0.2588,23.7915,1.6822,33.2415,33.2415,23,24,23.9408,22.4108,22.4108,0.9361,6984534,6984534,1.5696,64,91,147,162,127.5263,133,20,98,15.3762,9.0837,129.2649,446.4503,21.1294,-1.3604,4.3641,0.4639,13.5933,3.5904,41.8822,-7.4074,3.0436,0.2354,0.8564,0.3541,2.4415,0.89,0.991,0.8908,0.9632,0.2114,0.5786,0.8198,0.2226,0.7948,0.1859,7.1809,2.1887,-0.4561,0,0.3419,37.2947,54.6947,0.2879,27.6211,0.1454,0.4545,1.0592,17.9347,4.8767,0.1414,13.0526,0.0381,4.5841,3.4837,558.3895,0.155,8809.5556,2.1111,0.2346,1,0.1111,0.0215,1.8025,6652.4691,3.1699,0.1908,14.4444,0.008,3.4178,629.8258,136369.8889,0.0389,0.0144,1.1784,1.7248,0.4201,0.0355,51.1722,193.9091,85.8852,0.2055,1,0.7955,4.2923,3.885,0.1256,13.8971,0.0044,0.5045,5.7063,745.2225,790.1699,584.8684
ytma10_010704_benign1_ccd.tif,fcccdc39-7c2f-4a44-b426-ca04dd208a56,Annotation,,,Root object (Image),Polygon,418.25,277.53,103.5,49,414,414,98,0.2367,0.5417,1.846,28.5624,18.5305,0.6488,0.6488,414,414,98,0.2367,0.5417,0.2408,20.5956,1.846,34.6554,34.6554,25,24,28.5624,18.5305,18.5305,0.6488,8676297,8676297,1.2406,119,128,163,208,144.0314,141,20,89,11.4567,8.4086,144.7662,212.1947,14.5669,1.0956,4.7422,0.5182,5.7899,2.346,7.8026,1.7703,1.3247,0.1796,0.7612,0.3957,1.9806,0.911,0.9931,0.911,0.9703,0.1772,0.5863,0.3761,0.1783,0.6812,0.1478,4.692,1.7965,-0.4193,0,0.27,38.2588,61.5176,0.3619,18.9765,0.1116,0.4106,0.703,14.5362,4.8125,0.2598,6.5765,0.0946,2.1324,8.3828,203.0824,0.4073,7287,3.3333,0.2778,2.5,0.2083,0.029,1.5208,6096.75,3.2516,0.3309,9.0833,0.1235,3.8314,1694.9913,33908.1667,0.0398,0.0059,1.851,1.7092,0.4253,0.0375,54.4444,214.5362,85.686,0.207,1,0.3687,3.6702,3.5673,0.2253,5.7681,0.0105,0.2732,11.7398,295.4783,836.4952,555.0676
ytma10_010704_benign1_ccd.tif,156dcdcb-88a3-41da-8a81-68ccf0458c44,Annotation,,,Root object (Image),Polygon,395.92,280.35,103.5,47,414,414,94,0.2271,0.5888,1.6984,27.4794,19.2957,0.7022,0.7022,414,414,94,0.2271,0.5888,0.2563,23.3383,1.6984,33.6006,33.6006,27,20,27.4794,19.2957,19.2957,0.7022,6239924,6239924,1.6105,68,97,142,155,121.3623,125,24,87,14.7195,10.1338,122.7692,343.4678,18.5329,-0.8211,3.3872,0.3857,11.9487,3.3838,18.8355,-2.9162,2.2484,0.255,0.7963,0.2486,2.5879,0.8779,0.9903,0.8785,0.9592,0.238,0.3868,0.6259,0.2459,0.8299,0.1945,6.7677,2.3126,-0.4108,0,0.2918,26.3301,69.4272,0.337,28.2621,0.1372,0.4976,0.7551,10.1744,4.766,0.1331,11.8447,0.0346,3.6207,2.7052,328.1359,0.289,9438.2857,1.8571,0.2653,1.2857,0.1837,0.0169,2.2449,5940.4082,2.5216,0.2205,15,0.013,7.189,818.0814,122561,0.0375,0.0116,1.3949,1.8987,0.3493,0.0358,47.6763,159.6763,72.0918,0.1741,1,0.6059,3.4892,4.1889,0.1194,12.1232,0.0041,0.4843,5.1799,592.8382,791.8406,560.6957
ytma10_010704_benign1_ccd.tif,5a62a565-0454-4b33-9092-31ba289c9bb3,Annotation,,,Root object (Image),Polygon,146.51,22.32,102.5,52,410,410,104,0.2537,0.4764,2.0993,34.6592,15.197,0.4385,0.4385,410,410,104,0.2537,0.4764,0.2181,16.9013,2.0993,38.4708,38.4708,18,34,34.6592,15.197,15.197,0.4385,5030793,5030793,1.4819,81,92,130,154,109.8366,108,23,73,11.9523,9.3958,110.7711,206.1513,14.358,0.4329,2.4593,0.3912,3.8151,1.8702,5.4633,0.2491,1.5264,0.2569,0.7119,0.2621,2.3695,0.881,0.9852,0.8821,0.9523,0.2272,0.43,0.4458,0.2411,0.8334,0.1988,3.7404,2.0791,-0.3516,0,0.375,27.6667,75.1143,0.3577,33.6857,0.1604,0.5122,0.5577,12.4195,4.4098,0.345,5.3143,0.0825,2.6223,13.0501,98.6,0.4771,3584.4706,7.9412,0.4671,4.1765,0.2457,0.0415,0.5813,3002.8097,3.2195,0.2373,7.5882,0.0796,4,1405.3272,13094.6471,0.0279,0.0198,5.1934,1.5987,0.16,0.0527,48.9659,160.3951,66.7805,0.1629,1,0.4755,4.5648,4.1291,0.427,4.1976,0.0147,0.3388,22.8491,179.2707,293.0244,44.6439
ytma10_010704_benign1_ccd.tif,2267a7e1-6583-4599-a8bb-3331e1058f3a,Annotation,,,Root object (Image),Polygon,204.68,230.72,102.25,46,409,409,92,0.2249,0.6072,1.6468,25.4807,20.6506,0.8104,0.8104,409,409,92,0.2249,0.6072,0.2615,24.296,1.6468,32.5269,32.5269,23,23,25.4807,20.6506,20.6506,0.8104,7797208,7797208,1.6124,92,119,162,189,136.9389,133,21,97,13.7418,9.2272,138.0727,311.8227,17.6585,0.3035,3.24,0.408,9.5479,3.02,14.5221,-0.1207,1.961,0.2513,0.7728,0.2807,2.5538,0.8767,0.9904,0.877,0.9589,0.2439,0.4902,0.5531,0.2474,0.8204,0.1901,6.04,2.2905,-0.3993,0,0.313,25.9426,64.2057,0.3072,30.6268,0.1465,0.511,0.8023,10.6242,4.6748,0.1529,10.445,0.0405,3.7358,3.2549,252.6029,0.2575,4626.9286,4.5714,0.3265,2,0.1429,0.0342,1.352,3773.4541,3.4677,0.1983,10.7857,0.0198,3.9241,515.2723,44334.0714,0.0331,0.0129,1.8091,2.201,0.2731,0.0397,47.4792,166.8924,67.0587,0.164,1,0.5632,3.6088,4.1409,0.1419,9.9487,0.0052,0.4595,6.2309,467.2885,409.3533,461.4389
ytma10_010704_benign1_ccd.tif,56eecf5a-3bb1-4051-b8ca-c7852992110c,Annotation,,,Root object (Image),Polygon,426.59,262.73,102,47,408,408,94,0.2304,0.5802,1.7234,26.6537,19.5722,0.7343,0.7343,408,408,94,0.2304,0.5802,0.2526,22.6667,1.7234,33.3017,33.3017,22,25,26.6537,19.5722,19.5722,0.7343,6136931,6136931,1.4536,66,101,138,150,121.5613,125,19,84,12.1706,7.5729,122.6438,264.3541,16.259,-1.3106,4.7586,0.4184,11.8684,3.3832,16.343,-3.2651,1.9593,0.2704,0.7575,0.2661,2.4211,0.8719,0.9897,0.8727,0.9572,0.2482,0.4151,0.5574,0.2586,0.8559,0.2035,6.7664,2.1259,-0.3595,0,0.3529,22.1416,85.0708,0.3764,38.708,0.1713,0.5539,0.6286,9.105,4.4014,0.1356,11.292,0.0468,4.0831,2.1349,291.3009,0.1345,5475.2,2.8,0.28,1,0.1,0.0245,1.16,3810.56,3.3219,0.1922,11.4,0.0073,3.0053,431.2436,77331.5,0.0289,0.0118,1.6623,2.3681,0.3008,0.0375,47.1471,170.701,65.1667,0.1597,1,0.5379,4.0002,4.0667,0.118,12.0613,0.0045,0.4632,4.9123,597.6446,853.1887,525.4534
