index,NumPixels,ms
0,307,34.150098
1,578,53.657485
2,143,12.108954
3,452,34.808953
4,736,46.51272
5,1071,55.280182
6,329,37.34576
7,752,38.152892
8,729,46.776757
9,1035,63.834585
10,541,47.717178
11,508,44.344649
12,71,17.534176
13,148,9.478185
14,276,12.961026
15,390,38.53895
16,619,21.042774
17,650,32.851669
18,554,28.626396
19,596,34.432056
20,323,16.659333
21,383,31.772199
22,496,30.845348
23,660,23.138056
24,303,10.784295
25,305,12.122593
26,485,15.315315
27,543,18.052271
28,245,10.541776
29,776,24.79870
30,318,15.340825
31,346,14.956518
32,152,7.460104
33,212,10.586967
34,503,16.895361
35,432,15.096276
36,275,10.368319
37,461,13.58252
38,289,9.09194
39,300,14.073035
40,542,19.698606
41,343,10.041821
42,314,16.013689
43,312,10.375667
44,607,9.552796
45,1332,15.091167
46,792,12.774257
47,517,15.945679
48,409,10.972533
49,435,12.221742
50,1033,17.084329
51,289,6.110096
52,455,7.454065
53,430,5.739149
54,317,4.609949
55,305,4.147983
56,532,6.336805
57,265,3.866026
58,309,4.48918
59,458,5.800268
60,617,6.71018
61,335,4.297922
62,493,11.408859
63,739,6.559542
64,534,3.779057
65,938,5.64761
66,288,6.461523
67,576,6.603602
68,446,5.78482
69,423,4.756858
70,289,3.242391
71,320,4.775688
72,307,3.718076
73,501,4.941437
74,241,3.971205
75,497,4.111324
76,806,6.467183
77,1355,13.875916
78,332,4.084634
79,675,5.243984
80,317,3.873186
81,365,3.194422
82,784,6.571592
83,56,4.439511
84,470,3.822756
85,442,5.152855
86,755,4.278272
87,638,8.146949
88,197,2.736476
89,335,3.013423
90,285,5.789098
91,373,4.554921
92,363,5.026566
93,584,3.137922
94,482,2.35339
95,441,2.26344
96,151,1.764774
97,486,3.300131
98,428,2.29243
99,646,2.453459
100,378,4.106394
101,346,2.552788
102,329,3.081944
103,916,4.666099
104,231,3.760357
105,398,3.397179
106,426,2.593377
107,156,2.521088
108,115,3.925636
109,443,3.347701
110,354,3.872465
