ObjectID,ObjectType,Classification,Centroid_X,Centroid_Y,firstorder_10Percentile,firstorder_90Percentile,firstorder_Energy,firstorder_Entropy,firstorder_InterquartileRange,firstorder_Kurtosis,firstorder_Maximum,firstorder_Mean,firstorder_MeanAbsoluteDeviation,firstorder_Median,firstorder_Minimum,firstorder_Range,firstorder_RobustMeanAbsoluteDeviation,firstorder_RootMeanSquared,firstorder_Skewness,firstorder_StandardDeviation,firstorder_TotalEnergy,firstorder_Uniformity,firstorder_Variance,glcm_Autocorrelation,glcm_ClusterProminence,glcm_ClusterShade,glcm_ClusterTendency,glcm_Contrast,glcm_Correlation,glcm_DifferenceAverage,glcm_DifferenceEntropy,glcm_DifferenceVariance,glcm_Id,glcm_Idm,glcm_Idmn,glcm_Idn,glcm_Imc1,glcm_Imc2,glcm_InverseVariance,glcm_JointAverage,glcm_JointEnergy,glcm_JointEntropy,glcm_MaximumProbability,glcm_SumAverage,glcm_SumEntropy,glcm_SumSquares,gldm_DependenceEntropy,gldm_DependenceNonUniformity,gldm_DependenceNonUniformityNormalized,gldm_DependencePercentage,gldm_DependenceVariance,gldm_GrayLevelNonUniformity,gldm_GrayLevelVariance,gldm_HighGrayLevelEmphasis,gldm_LargeDependenceEmphasis,gldm_LargeDependenceHighGrayLevelEmphasis,gldm_LargeDependenceLowGrayLevelEmphasis,gldm_LowGrayLevelEmphasis,gldm_SmallDependenceEmphasis,gldm_SmallDependenceHighGrayLevelEmphasis,gldm_SmallDependenceLowGrayLevelEmphasis,glrlm_GrayLevelNonUniformity,glrlm_GrayLevelNonUniformityNormalized,glrlm_GrayLevelVariance,glrlm_HighGrayLevelRunEmphasis,glrlm_LongRunEmphasis,glrlm_LongRunHighGrayLevelEmphasis,glrlm_LongRunLowGrayLevelEmphasis,glrlm_LowGrayLevelRunEmphasis,glrlm_RunEntropy,glrlm_RunLengthNonUniformity,glrlm_RunLengthNonUniformityNormalized,glrlm_RunPercentage,glrlm_RunVariance,glrlm_ShortRunEmphasis,glrlm_ShortRunHighGrayLevelEmphasis,glrlm_ShortRunLowGrayLevelEmphasis,glszm_GrayLevelNonUniformity,glszm_GrayLevelNonUniformityNormalized,glszm_GrayLevelVariance,glszm_HighGrayLevelZoneEmphasis,glszm_LargeAreaEmphasis,glszm_LargeAreaHighGrayLevelEmphasis,glszm_LargeAreaLowGrayLevelEmphasis,glszm_LowGrayLevelZoneEmphasis,glszm_SizeZoneNonUniformity,glszm_SizeZoneNonUniformityNormalized,glszm_SmallAreaEmphasis,glszm_SmallAreaHighGrayLevelEmphasis,glszm_SmallAreaLowGrayLevelEmphasis,glszm_ZoneEntropy,glszm_ZonePercentage,glszm_ZoneVariance,ngtdm_Busyness,ngtdm_Coarseness,ngtdm_Complexity,ngtdm_Contrast,ngtdm_Strength,shape2D_Elongation,shape2D_Flatness,shape2D_MajorAxisLength,shape2D_MeshSurfaceArea,shape2D_MinorAxisLength,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_PixelSurface,shape2D_SphericalDisproportion,shape2D_Sphericity,shape_Compactness1,shape_Compactness2,shape_Elongation,shape_LeastAxisLength,shape_MajorAxisLength,shape_Maximum2DDiameterColumn,shape_Maximum2DDiameterRow,shape_Maximum2DDiameterSlice,shape_Maximum3DDiameter,shape_MeshVolume,shape_MinorAxisLength,shape_SphericalDisproportion,shape_Sphericity,shape_SurfaceArea,shape_SurfaceVolumeRatio,shape_VoxelVolume
"8a4acab7-8236-4234-a818-ea8edf590394","Detection","nuclei_tumor",12.843034,6.562610,85.000000,119.000000,4117080.000000,1.347204,17.000000,4.249949,167.000000,102.357513,10.692824,102.000000,69.000000,98.000000,7.408839,103.276379,0.405773,13.745905,4117080.000000,0.447556,188.949905,7.133808,4.816865,0.311592,1.198703,0.328826,0.569467,0.320285,0.932631,0.226243,0.841281,0.840712,0.987421,0.946823,-0.208292,0.000000,0.312811,2.629893,0.257255,2.398618,0.395730,5.259786,2.051333,0.381882,4.123456,53.699482,0.139118,1.000000,4.087653,172.756477,0.393843,7.308290,39.839378,286.629534,6.566935,0.176063,0.063271,0.484111,0.015546,97.572549,0.382637,0.564460,7.592157,14.682353,104.854902,2.480109,0.190143,4.157561,49.776471,0.195202,0.660622,5.516894,0.386167,3.127629,0.083956,6.166667,0.256944,1.123264,8.458333,1159.500000,8341.875000,187.988090,0.255428,4.250000,0.177083,0.406918,3.187008,0.132087,4.136842,0.062176,900.826389,2.721756,0.023372,2.988155,0.010970,0.235406,0.425948,0.425948,36.494513,378.000000,15.544782,94.627417,0.250337,378.000000,1.885091,0.530478,0.231682,19.071507,0.425948,15.544782,36.494513,34.000000,18.000000,38.470768,38.470768,378.000000,15.544782,1.885091,0.530478,94.627417,0.250337,378.000000
"f07664f0-e858-4011-91a3-8712ba1c5158","Detection","nuclei_tumor",228.812439,8.045675,86.000000,115.000000,3612150.000000,1.083453,16.000000,2.406650,130.000000,100.883191,8.862542,101.000000,72.000000,58.000000,7.029316,101.444693,-0.035769,10.658679,3612150.000000,0.493153,113.607438,6.521672,1.113013,-0.121760,0.848534,0.220588,0.587347,0.220588,0.761240,0.171929,0.889706,0.889706,0.987024,0.955882,-0.257437,0.000000,0.220588,2.522833,0.325819,1.864739,0.418731,5.045666,1.644151,0.267281,3.739581,62.840456,0.179033,1.000000,4.250388,173.096866,0.270582,6.757835,49.649573,330.820513,8.755579,0.178023,0.047106,0.371271,0.008478,79.497041,0.470397,0.326459,6.982249,33.988166,233.644970,5.810487,0.182446,4.241584,25.532544,0.151080,0.481481,16.733728,0.342070,2.601807,0.063580,4.230769,0.325444,0.698225,7.538462,3944.076923,28118.769231,643.400641,0.225427,2.692308,0.207101,0.436287,4.356270,0.071797,3.392747,0.037037,3215.076923,3.235824,0.026983,1.508574,0.010080,0.155286,0.807984,0.807984,24.267709,343.000000,19.607909,76.627417,0.223404,343.000000,1.362274,0.734067,0.288498,29.572501,0.807984,19.607909,24.267709,24.000000,19.000000,30.610456,30.610456,343.000000,19.607909,1.362274,0.734067,76.627417,0.223404,343.000000
"294c8a5b-26fb-4c63-b769-e9895415670e","Detection","nuclei_tumor",509.554840,5.597403,68.000000,101.000000,1762329.000000,1.272941,14.000000,3.250490,130.000000,84.720833,10.008229,84.000000,59.000000,71.000000,6.800451,85.691525,0.385980,12.861489,1762329.000000,0.497951,165.417899,3.851211,4.146742,0.043220,1.148648,0.196078,0.708374,0.196078,0.714015,0.157632,0.901961,0.901961,0.988466,0.960784,-0.371138,0.000000,0.196078,1.900807,0.361616,2.047828,0.565167,3.801615,1.851749,0.336182,3.729652,47.175000,0.196563,1.000000,3.813264,119.508333,0.344375,4.050000,50.166667,189.458333,19.614728,0.388108,0.035871,0.213336,0.011831,46.095652,0.400832,0.493762,4.669565,26.852174,103.600000,9.917029,0.373068,4.378361,16.234783,0.141172,0.479167,9.430624,0.325147,1.976344,0.092930,1.666667,0.277778,0.916667,7.166667,3043.333333,11540.333333,1056.218750,0.297454,1.000000,0.166667,0.185576,2.835838,0.012590,2.584963,0.025000,1443.333333,2.365273,0.051664,1.328172,0.011400,0.323061,0.634139,0.634139,22.864781,231.000000,14.499444,63.455844,0.274701,231.000000,1.387144,0.720906,0.257828,23.618997,0.634139,14.499444,22.864781,23.000000,14.000000,26.925824,26.925824,231.000000,14.499444,1.387144,0.720906,63.455844,0.274701,231.000000
"76a7c1e5-c07b-4262-8e2a-117ce69f97a4","Detection","nuclei_histiocyte",714.013733,4.646625,126.000000,154.000000,3236030.000000,1.161756,16.000000,2.889583,167.000000,140.466258,8.923934,141.000000,109.000000,58.000000,6.584033,140.900478,-0.239479,11.053291,3236030.000000,0.531032,122.175242,4.607330,2.616067,-0.055686,0.879508,0.301920,0.488890,0.298429,0.892641,0.212860,0.851367,0.851134,0.969969,0.925567,-0.171108,0.000000,0.295375,2.112565,0.335724,2.137133,0.544503,4.225131,1.823468,0.295357,3.751421,23.662577,0.145169,1.000000,3.647258,86.558282,0.292973,4.877301,38.987730,170.570552,11.115883,0.282890,0.047952,0.248362,0.016577,46.137615,0.423281,0.406531,5.458716,13.266055,59.192661,3.660041,0.282875,3.746441,20.633028,0.189294,0.668712,4.321017,0.373147,2.294684,0.102724,3.000000,0.428571,0.775510,6.000000,1866.428571,7643.571429,477.857143,0.384921,1.000000,0.142857,0.151002,0.209343,0.144515,2.807355,0.042945,1324.204082,3.547808,0.054695,0.823130,0.026493,0.132913,0.536048,0.536048,20.223281,158.000000,10.840658,54.627417,0.345743,158.000000,1.502984,0.665343,0.220783,17.319468,0.536048,10.840658,20.223281,20.000000,11.000000,22.825424,22.825424,158.000000,10.840658,1.502984,0.665343,54.627417,0.345743,158.000000
"4ac1dc62-7703-4f80-948e-f670a8cff584","Detection","nuclei_lymphocyte",756.295654,3.731449,75.000000,116.000000,1345730.000000,1.507304,25.000000,2.514087,136.000000,94.712329,13.136986,95.000000,61.000000,75.000000,10.063696,96.006920,0.287111,15.713165,1345730.000000,0.405798,246.903547,5.598425,6.884054,0.459310,1.608640,0.251969,0.729155,0.251969,0.814383,0.188480,0.874016,0.874016,0.985178,0.949606,-0.366909,0.000000,0.251969,2.293307,0.271068,2.431313,0.444882,4.586614,2.179344,0.465152,4.106911,21.808219,0.149371,1.000000,3.971477,59.246575,0.476074,5.835616,42.479452,234.931507,10.367437,0.267932,0.051513,0.355951,0.017519,28.058824,0.330104,0.678754,6.270588,18.000000,97.082353,4.367484,0.299183,4.226850,14.458824,0.170104,0.582192,6.198754,0.288151,1.999446,0.091352,2.555556,0.283951,1.358025,7.333333,870.444444,4473.333333,197.010031,0.412037,1.444444,0.160494,0.252219,2.157934,0.126547,3.169925,0.061644,607.283951,1.439134,0.092227,1.266426,0.017598,0.434891,0.437522,0.437522,21.076261,141.500000,9.221332,52.727922,0.372635,141.500000,1.563562,0.639565,0.208507,15.446969,0.437522,9.221332,21.076261,20.000000,9.000000,21.931712,21.931712,141.500000,9.221332,1.563562,0.639565,52.727922,0.372635,141.500000
"6ea2b0e9-4b77-4de6-be7b-72710f9b64ca","Detection","nuclei_lymphocyte",832.261414,3.797386,68.000000,98.000000,718447.000000,1.317143,15.000000,4.523703,128.000000,81.462264,9.164827,80.000000,62.000000,66.000000,6.305300,82.327407,1.064522,11.903840,718447.000000,0.461908,141.701406,3.187328,3.091786,0.273152,0.955141,0.388430,0.421795,0.366391,1.009643,0.254187,0.820478,0.819008,0.977540,0.927456,-0.117103,0.000000,0.347107,1.745179,0.270143,2.321218,0.443526,3.490358,1.904020,0.335893,3.946062,14.056604,0.132609,1.000000,4.261659,48.962264,0.382698,3.528302,33.584906,112.264151,14.633451,0.478315,0.068089,0.386521,0.029136,30.761905,0.366213,0.581066,4.119048,11.428571,37.619048,5.212467,0.472388,3.621575,24.309524,0.289399,0.792453,5.058957,0.544160,2.744051,0.226496,2.142857,0.306122,1.265306,5.857143,646.857143,2395.714286,216.393849,0.504960,1.285714,0.183673,0.219419,2.679845,0.050190,2.807355,0.066038,417.551020,2.086811,0.067547,2.591133,0.022682,0.458508,0.630684,0.630684,15.140462,102.000000,9.548845,43.313708,0.424644,102.000000,1.463662,0.683218,0.201877,14.480268,0.630684,9.548845,15.140462,15.000000,9.000000,17.492856,17.492856,102.000000,9.548845,1.463662,0.683218,43.313708,0.424644,102.000000
"3a09c8a9-03aa-42aa-b2d7-7a381e45baf3","Detection","nuclei_lymphocyte",952.459106,4.094810,81.000000,122.000000,1788327.000000,1.519208,21.000000,3.143488,147.000000,100.097701,12.513476,98.000000,67.000000,80.000000,8.564868,101.379196,0.468415,16.068342,1788327.000000,0.403092,258.191604,6.130719,6.704112,0.992375,1.524510,0.362745,0.615584,0.343137,0.982107,0.245002,0.831699,0.830392,0.979008,0.932026,-0.226503,0.000000,0.325980,2.416667,0.242815,2.608611,0.423203,4.833333,2.203273,0.471814,4.231429,22.183908,0.127494,1.000000,4.800238,70.137931,0.502048,6.609195,37.172414,212.689655,8.036877,0.219907,0.074535,0.678225,0.014179,43.723077,0.336331,0.667456,7.507692,12.553846,72.907692,2.743697,0.228045,3.882747,34.461538,0.265089,0.747126,5.387929,0.517308,4.318258,0.121618,3.833333,0.319444,1.076389,9.583333,869.833333,4494.000000,192.339120,0.254630,2.333333,0.194444,0.386795,4.716099,0.043083,3.084963,0.068966,659.583333,2.400411,0.055082,1.739280,0.025881,0.260558,0.466201,0.466201,22.637670,167.000000,10.553706,57.798990,0.346102,167.000000,1.591894,0.628183,0.214418,16.335204,0.466201,10.553706,22.637670,23.000000,10.000000,25.079872,25.079872,167.000000,10.553706,1.591894,0.628183,57.798990,0.346102,167.000000
"55522bf9-7075-457b-86aa-83f96fe80fcc","Detection","nuclei_lymphocyte",885.858887,11.851851,60.000000,97.000000,2070753.000000,1.423139,17.000000,3.786150,133.000000,77.545181,11.614149,75.000000,47.000000,86.000000,7.785058,78.975995,0.833353,14.965052,2070753.000000,0.416915,223.952778,6.636735,3.762761,0.674785,1.157251,0.391837,0.494107,0.354286,1.024868,0.266318,0.829116,0.826612,0.985228,0.941846,-0.156629,0.000000,0.321429,2.538776,0.247071,2.432014,0.373061,5.077551,1.998398,0.387272,4.061986,43.789157,0.131895,1.000000,4.840107,138.415663,0.455754,7.243976,39.692771,244.533133,7.629508,0.178454,0.068311,0.803829,0.009253,79.437768,0.340935,0.639909,8.982833,14.240343,87.175966,2.801950,0.156624,3.918579,57.163090,0.245335,0.701807,6.119066,0.497717,5.636988,0.064021,6.700000,0.335000,0.950000,13.200000,1490.300000,7301.250000,336.601222,0.138028,3.600000,0.180000,0.369881,6.476168,0.034961,3.484184,0.060241,1214.740000,2.878935,0.025070,3.542634,0.015380,0.233083,0.647601,0.647601,25.678788,333.000000,16.629620,70.769553,0.212521,333.000000,1.196847,0.835528,0.315573,35.383557,0.647601,16.629620,25.678788,20.000000,23.000000,30.479501,30.479501,333.000000,16.629620,1.196847,0.835528,70.769553,0.212521,333.000000
"14c6d6e8-252a-4c9e-9ca1-7108b48ea1b2","Detection","nuclei_histiocyte",981.855286,13.878518,88.000000,117.000000,3533181.000000,1.299711,16.000000,3.442636,134.000000,101.824405,9.473941,101.000000,62.000000,72.000000,6.641220,102.544720,-0.198545,12.133023,3533181.000000,0.455623,147.210238,6.651050,3.015083,-0.356942,1.039906,0.323910,0.524995,0.310985,0.931892,0.227198,0.846661,0.845800,0.981175,0.938234,-0.184670,0.000000,0.299677,2.544023,0.267152,2.289893,0.394184,5.088045,1.932662,0.340954,4.074074,47.351190,0.140926,1.000000,4.502232,153.089286,0.357993,6.970238,42.017857,291.303571,7.458085,0.189691,0.052686,0.440214,0.009336,81.640777,0.396314,0.487416,7.106796,18.970874,132.902913,3.292948,0.206681,4.131274,42.368932,0.205674,0.613095,8.329343,0.441769,3.401766,0.086809,3.500000,0.291667,0.909722,9.416667,3211.166667,22410.000000,542.025463,0.203704,1.833333,0.152778,0.274556,3.297447,0.034377,3.418296,0.035714,2427.166667,3.790900,0.024164,1.852620,0.017788,0.128827,0.648693,0.648693,26.005357,337.500000,16.869491,73.355339,0.217349,337.500000,1.268761,0.788171,0.303076,32.636587,0.648693,16.869491,26.005357,19.000000,25.000000,31.400637,31.400637,337.500000,16.869491,1.268761,0.788171,73.355339,0.217349,337.500000
"c3becb90-6c58-469c-9b74-eea2ad08f97d","Detection","nuclei_histiocyte",660.227051,18.074503,93.000000,144.000000,8539790.000000,1.770316,25.000000,2.844429,170.000000,121.507092,15.428424,124.000000,69.000000,101.000000,10.744741,123.050687,-0.412321,19.429312,8539790.000000,0.337364,377.498177,12.007594,16.603719,-1.235856,2.409323,0.383009,0.725671,0.360228,1.005418,0.253245,0.823683,0.822164,0.985450,0.940504,-0.301013,0.000000,0.340294,3.391315,0.174059,3.011027,0.287613,6.782629,2.582250,0.698083,4.510797,85.170213,0.151011,1.000000,3.279714,190.273050,0.699295,12.203901,37.680851,461.203901,4.017173,0.115240,0.046333,0.562882,0.006969,120.204134,0.310605,0.805240,12.124031,12.857881,156.232558,1.385604,0.123409,4.444315,76.576227,0.197871,0.686170,4.362238,0.389834,4.592545,0.049858,4.157895,0.218837,1.878116,12.526316,4719.368421,60388.789474,411.598509,0.212281,1.947368,0.102493,0.154030,1.982164,0.061447,4.142664,0.033688,3838.216066,2.840091,0.021001,2.721087,0.019392,0.182406,0.493621,0.493621,39.067206,561.500000,19.284411,101.840620,0.181372,561.500000,1.469882,0.680327,0.308243,33.758939,0.493621,19.284411,39.067206,22.000000,38.000000,43.908997,43.908997,561.500000,19.284411,1.469882,0.680327,101.840620,0.181372,561.500000
