ObjectID,ObjectType,Classification,Centroid_X,Centroid_Y,firstorder_10Percentile,firstorder_90Percentile,firstorder_Energy,firstorder_Entropy,firstorder_InterquartileRange,firstorder_Kurtosis,firstorder_Maximum,firstorder_Mean,firstorder_MeanAbsoluteDeviation,firstorder_Median,firstorder_Minimum,firstorder_Range,firstorder_RobustMeanAbsoluteDeviation,firstorder_RootMeanSquared,firstorder_Skewness,firstorder_StandardDeviation,firstorder_TotalEnergy,firstorder_Uniformity,firstorder_Variance,glcm_Autocorrelation,glcm_ClusterProminence,glcm_ClusterShade,glcm_ClusterTendency,glcm_Contrast,glcm_Correlation,glcm_DifferenceAverage,glcm_DifferenceEntropy,glcm_DifferenceVariance,glcm_Id,glcm_Idm,glcm_Idmn,glcm_Idn,glcm_Imc1,glcm_Imc2,glcm_InverseVariance,glcm_JointAverage,glcm_JointEnergy,glcm_JointEntropy,glcm_MaximumProbability,glcm_SumAverage,glcm_SumEntropy,glcm_SumSquares,gldm_DependenceEntropy,gldm_DependenceNonUniformity,gldm_DependenceNonUniformityNormalized,gldm_DependencePercentage,gldm_DependenceVariance,gldm_GrayLevelNonUniformity,gldm_GrayLevelVariance,gldm_HighGrayLevelEmphasis,gldm_LargeDependenceEmphasis,gldm_LargeDependenceHighGrayLevelEmphasis,gldm_LargeDependenceLowGrayLevelEmphasis,gldm_LowGrayLevelEmphasis,gldm_SmallDependenceEmphasis,gldm_SmallDependenceHighGrayLevelEmphasis,gldm_SmallDependenceLowGrayLevelEmphasis,glrlm_GrayLevelNonUniformity,glrlm_GrayLevelNonUniformityNormalized,glrlm_GrayLevelVariance,glrlm_HighGrayLevelRunEmphasis,glrlm_LongRunEmphasis,glrlm_LongRunHighGrayLevelEmphasis,glrlm_LongRunLowGrayLevelEmphasis,glrlm_LowGrayLevelRunEmphasis,glrlm_RunEntropy,glrlm_RunLengthNonUniformity,glrlm_RunLengthNonUniformityNormalized,glrlm_RunPercentage,glrlm_RunVariance,glrlm_ShortRunEmphasis,glrlm_ShortRunHighGrayLevelEmphasis,glrlm_ShortRunLowGrayLevelEmphasis,glszm_GrayLevelNonUniformity,glszm_GrayLevelNonUniformityNormalized,glszm_GrayLevelVariance,glszm_HighGrayLevelZoneEmphasis,glszm_LargeAreaEmphasis,glszm_LargeAreaHighGrayLevelEmphasis,glszm_LargeAreaLowGrayLevelEmphasis,glszm_LowGrayLevelZoneEmphasis,glszm_SizeZoneNonUniformity,glszm_SizeZoneNonUniformityNormalized,glszm_SmallAreaEmphasis,glszm_SmallAreaHighGrayLevelEmphasis,glszm_SmallAreaLowGrayLevelEmphasis,glszm_ZoneEntropy,glszm_ZonePercentage,glszm_ZoneVariance,ngtdm_Busyness,ngtdm_Coarseness,ngtdm_Complexity,ngtdm_Contrast,ngtdm_Strength,shape2D_Elongation,shape2D_Flatness,shape2D_MajorAxisLength,shape2D_MeshSurfaceArea,shape2D_MinorAxisLength,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_PixelSurface,shape2D_SphericalDisproportion,shape2D_Sphericity,shape_Compactness1,shape_Compactness2,shape_Elongation,shape_LeastAxisLength,shape_MajorAxisLength,shape_Maximum2DDiameterColumn,shape_Maximum2DDiameterRow,shape_Maximum2DDiameterSlice,shape_Maximum3DDiameter,shape_MeshVolume,shape_MinorAxisLength,shape_SphericalDisproportion,shape_Sphericity,shape_SurfaceArea,shape_SurfaceVolumeRatio,shape_VoxelVolume
"02c9a9c5-3cb8-4ab8-b481-320c5ced3771","Annotation","invasive tumor",11411.055664,21225.951172,87.000000,179.000000,22686974.000000,2.495331,51.000000,2.431890,230.000000,135.977470,27.732541,138.000000,56.000000,174.000000,20.192978,140.212064,-0.135422,34.198693,22686974.000000,0.200047,1169.550619,17.179031,129.024748,-4.138860,7.199326,0.550901,0.857836,0.475544,1.172991,0.324759,0.774378,0.769764,0.991638,0.947989,-0.383715,0.000000,0.413475,3.939153,0.083730,4.010462,0.176691,7.878306,3.383401,1.937557,5.395005,157.986135,0.136903,1.000000,3.895810,230.854419,1.982997,17.603986,30.426343,511.045927,4.183210,0.127834,0.088228,1.717347,0.010571,191.110769,0.196011,1.977173,18.265641,9.421538,161.540513,1.220371,0.118278,4.761009,270.392821,0.277326,0.844887,3.818000,0.518882,9.903965,0.053540,16.065217,0.174622,2.523984,20.402174,957.369565,15464.119565,105.597000,0.124803,17.652174,0.191871,0.445002,9.272739,0.058782,5.185133,0.079723,800.030718,2.556456,0.012464,9.342346,0.025859,0.286044,0.132966,0.132966,109.676743,1208.000000,14.583261,227.763172,0.188546,1208.000000,3.417356,0.292624,0.198274,13.968048,0.132966,14.583261,109.676743,108.000000,16.000000,109.178753,109.178753,1208.000000,14.583261,3.417356,0.292624,227.763172,0.188546,1208.000000
"7ec438ee-ddc4-4411-91b7-551620afc775","Annotation","invasive tumor",11763.106445,21187.582031,63.000000,173.000000,244462255.000000,2.699860,63.000000,2.461303,250.000000,123.881847,34.494003,129.000000,37.000000,213.000000,25.894891,130.771717,0.043820,41.887111,244462255.000000,0.175057,1754.530076,22.445426,283.223303,1.170238,10.750811,0.570850,0.899158,0.451875,1.200917,0.366658,0.791751,0.785835,0.994446,0.959790,-0.442042,0.000000,0.367118,4.460990,0.079549,4.196709,0.162826,8.921981,3.560843,2.830415,5.582685,1845.278979,0.129086,1.000000,4.611521,2502.439524,2.850989,22.935432,37.311997,734.663169,4.039015,0.093201,0.069994,1.935034,0.006221,1826.331235,0.174185,2.708657,26.250358,15.429852,270.950310,1.946747,0.079040,5.207421,2672.232237,0.254862,0.733473,7.994673,0.498708,14.035719,0.036276,130.950413,0.154605,3.568447,29.799292,7871.186541,118426.840614,1104.519942,0.096954,140.208973,0.165536,0.407002,12.461368,0.045524,6.282167,0.059251,7586.346199,17.373318,0.001256,14.016727,0.021529,0.049976,0.394825,0.394825,231.781306,14350.000000,91.513117,590.517352,0.041151,14350.000000,1.933764,0.517126,0.564193,113.098849,0.394825,91.513117,231.781306,236.000000,114.000000,262.091587,262.091587,14350.000000,91.513117,1.933764,0.517126,590.517352,0.041151,14350.000000
"2089da22-30b4-4419-ae1d-8dbcafc8ac80","Annotation","invasive tumor",11146.459961,21138.138672,70.000000,163.000000,1796915213.000000,2.602887,53.000000,2.983913,245.000000,118.198014,30.135709,119.000000,16.000000,229.000000,21.737380,123.962314,0.363159,37.361542,1796915213.000000,0.188683,1395.884792,29.551765,222.716761,8.213119,8.695536,0.493873,0.892512,0.398214,1.127679,0.335299,0.814852,0.810282,0.995195,0.964493,-0.454872,0.000000,0.332012,5.244173,0.091084,4.019193,0.169943,10.488346,3.458714,2.297352,5.511476,15874.281333,0.135752,1.000000,4.646689,22063.786464,2.302324,29.844984,41.913508,1158.609436,2.188070,0.048549,0.058557,2.005625,0.002565,13917.082550,0.185181,2.343471,32.701879,19.937488,537.960561,1.077732,0.043977,5.387244,16745.702185,0.222819,0.642693,10.253545,0.462387,16.109367,0.018912,822.153876,0.160954,3.098620,37.574002,22363.257244,731027.040916,781.662614,0.043187,830.553250,0.162599,0.403542,15.347952,0.017381,6.647286,0.043682,21839.180738,115.159808,0.000159,12.557399,0.015428,0.006021,0.275522,0.275522,772.674475,117092.000000,212.888797,1848.611065,0.015788,117092.000000,2.322491,0.430572,0.831159,245.454036,0.275522,212.888797,772.674475,730.000000,216.000000,761.285754,761.285754,117092.000000,212.888797,2.322491,0.430572,1848.611065,0.015788,117092.000000
"3a43a793-26a7-4d8d-af39-687a73dc8b19","Annotation","invasive tumor",4399.902832,21018.398438,76.000000,160.000000,15324337.000000,2.324067,58.000000,2.089412,227.000000,114.558333,28.289877,110.000000,60.000000,167.000000,22.961311,119.118432,0.351348,32.643364,15324337.000000,0.219544,1065.589190,10.831232,85.245382,5.140378,6.497466,0.325170,0.904679,0.302861,0.935682,0.233445,0.852045,0.850800,0.995034,0.966591,-0.504991,0.000000,0.285632,3.047648,0.128430,3.431100,0.250485,6.095296,3.084665,1.705659,5.075191,160.983333,0.149059,1.000000,4.151478,237.107407,1.787394,11.420370,45.135185,478.001852,9.629833,0.213984,0.046977,0.736994,0.009746,117.537954,0.193957,2.043776,12.762376,21.646865,224.950495,4.649241,0.213193,5.370659,101.574257,0.167614,0.561111,8.942228,0.376966,5.538517,0.078149,5.066667,0.168889,4.195556,19.666667,6747.200000,56980.400000,1411.010339,0.254030,5.066667,0.168889,0.389585,10.367523,0.067314,4.548394,0.027778,5451.200000,2.202805,0.018702,7.507204,0.015887,0.534978,0.730263,0.730263,44.475369,1100.000000,32.478738,130.297352,0.118452,1100.000000,1.228199,0.814201,0.417267,61.863000,0.730263,32.478738,44.475369,44.000000,32.000000,54.405882,54.405882,1100.000000,32.478738,1.228199,0.814201,130.297352,0.118452,1100.000000
"c642a4f8-8cd8-4738-8279-380a45b9b351","Annotation","invasive tumor",4187.594238,21001.943359,87.000000,175.000000,54034114.000000,2.353100,64.000000,2.337131,248.000000,132.668069,32.051108,137.000000,67.000000,181.000000,26.388689,137.620500,0.285071,36.586686,54034114.000000,0.224191,1338.585580,16.225990,156.368516,6.848551,8.336322,0.364145,0.916293,0.327351,0.991419,0.256986,0.842231,0.840004,0.994454,0.964031,-0.500255,0.000000,0.297287,3.772658,0.136501,3.499654,0.244386,7.545315,3.094114,2.175117,4.952416,423.820890,0.148553,1.000000,4.607487,639.616193,2.220861,16.817385,45.119173,659.507185,6.038663,0.114571,0.051112,1.119896,0.004787,324.560917,0.195754,2.047467,19.821472,26.287093,337.030157,4.064422,0.089205,5.238320,340.808203,0.205554,0.581143,14.443200,0.432904,9.271506,0.035189,20.113402,0.207355,2.474014,26.051546,10807.680412,169253.958763,1273.649530,0.093466,16.463918,0.169731,0.404168,11.629749,0.034466,4.993494,0.033999,9942.592837,4.997949,0.006910,6.786025,0.020762,0.169951,0.579121,0.579121,80.530147,2858.000000,46.636726,212.519199,0.074359,2858.000000,1.257547,0.795199,0.520463,96.245917,0.579121,46.636726,80.530147,66.000000,66.000000,93.338095,93.338095,2858.000000,46.636726,1.257547,0.795199,212.519199,0.074359,2858.000000
"f1954167-9c4f-48ef-80bf-7e240d985951","Annotation","invasive tumor",3970.369629,20995.189453,132.000000,185.000000,64611285.000000,1.770704,18.000000,4.771321,244.000000,163.477474,15.496980,168.000000,92.000000,152.000000,8.686540,164.938630,-1.036198,21.905871,64611285.000000,0.383613,479.867177,16.843271,43.221554,-5.179301,3.053788,0.278158,0.833036,0.269252,0.866518,0.205661,0.866859,0.866265,0.994457,0.966467,-0.430115,0.000000,0.261459,4.018627,0.253189,2.753373,0.455849,8.037254,2.455022,0.832986,4.402929,389.049684,0.163810,1.000000,4.129074,911.080000,0.843840,17.168842,49.021895,814.250105,3.989801,0.085853,0.042964,0.816447,0.004402,337.561969,0.286555,1.210855,18.259762,34.636672,574.670628,2.635975,0.095260,5.130472,190.932088,0.162082,0.496000,18.377567,0.358063,7.080672,0.036806,19.061538,0.293254,1.910059,21.815385,28069.153846,450466.492308,1838.648342,0.116186,9.646154,0.148402,0.377826,7.686289,0.052337,4.885840,0.027368,26734.094675,5.305216,0.005101,5.262149,0.010232,0.112166,0.558742,0.558742,74.111399,2362.000000,41.409165,190.796833,0.080778,2362.000000,1.226458,0.815356,0.505648,90.844508,0.558742,41.409165,74.111399,46.000000,74.000000,87.132084,87.132084,2362.000000,41.409165,1.226458,0.815356,190.796833,0.080778,2362.000000
"0c589c0a-d995-4551-a9f9-83799b5ef545","Annotation","invasive tumor",3568.525635,20990.078125,77.000000,177.000000,83963706.000000,2.591780,63.000000,2.136873,241.000000,131.157216,32.909734,137.000000,48.000000,193.000000,26.196158,136.642046,-0.014965,38.325363,83963706.000000,0.185060,1468.833411,24.750583,181.290848,-0.966048,9.174520,0.534027,0.889988,0.428393,1.170111,0.350507,0.801639,0.796226,0.993617,0.958086,-0.433118,0.000000,0.351695,4.752942,0.086929,4.055449,0.180624,9.505884,3.443003,2.427137,5.543810,583.478986,0.129748,1.000000,4.663158,832.215032,2.431436,25.161663,38.661107,934.781855,2.672283,0.067002,0.066523,1.859130,0.004168,552.370558,0.175244,2.474799,26.355013,15.451777,378.155457,1.031176,0.064126,5.223974,761.651015,0.241641,0.700912,7.309734,0.489413,13.487352,0.029130,38.949791,0.162970,3.021901,29.292887,6807.828452,195432.979079,329.760377,0.064879,38.138075,0.159574,0.403275,12.711611,0.024988,5.885886,0.053147,6453.790375,5.767970,0.004090,10.406005,0.021469,0.115246,0.654526,0.654526,95.157720,4478.000000,62.283249,265.233281,0.059230,4478.000000,1.250150,0.799904,0.584880,121.544832,0.654526,62.283249,95.157720,60.000000,86.000000,104.861814,104.861814,4478.000000,62.283249,1.250150,0.799904,265.233281,0.059230,4478.000000
"bd9300e3-9cfb-4e7f-bdd4-4f3bddaa02f3","Annotation","invasive tumor",4062.089600,20976.423828,76.000000,178.000000,260633252.000000,2.608033,63.000000,2.257458,243.000000,133.567656,33.214408,142.000000,26.000000,217.000000,25.818838,139.240897,-0.176955,39.340928,260633252.000000,0.189505,1547.708638,25.906399,217.933176,-5.905494,9.766016,0.400900,0.921136,0.346510,1.034187,0.280831,0.835138,0.832147,0.995171,0.965831,-0.505587,0.000000,0.305007,4.854392,0.101585,3.887692,0.217654,9.708784,3.424197,2.541729,5.418953,1966.547422,0.146288,1.000000,4.356879,2547.519378,2.557676,26.230826,44.760619,1105.864837,3.288498,0.068607,0.048838,1.410707,0.003061,1389.659923,0.177933,2.543987,28.453521,23.718054,563.671447,1.839763,0.061495,5.569544,1495.878361,0.191534,0.580972,11.867181,0.412079,12.297272,0.023296,70.225058,0.162935,3.120321,31.995360,18439.092807,557072.800464,866.958075,0.064270,56.897912,0.132014,0.363471,11.378462,0.023381,6.415041,0.032061,17466.260787,14.369333,0.001543,8.720998,0.019252,0.045671,0.681353,0.681353,159.605533,13494.000000,108.747783,443.072919,0.032835,13494.000000,1.157710,0.863774,0.816306,236.759910,0.681353,108.747783,159.605533,156.000000,114.000000,193.214906,193.214906,13494.000000,108.747783,1.157710,0.863774,443.072919,0.032835,13494.000000
"5b87c150-c213-4f0a-b1d8-ac597f7337e2","Annotation","invasive tumor",4271.603516,20975.443359,93.000000,188.000000,190459738.000000,2.663025,49.000000,2.932710,246.000000,142.653767,30.150474,143.000000,45.000000,201.000000,20.623998,147.670926,-0.038174,38.165496,190459738.000000,0.185224,1456.605105,29.502816,262.003569,-0.462896,9.371591,0.372742,0.923496,0.318589,0.987615,0.271243,0.848302,0.845979,0.995533,0.968605,-0.535149,0.000000,0.283714,5.220451,0.100612,3.901239,0.190004,10.440901,3.483718,2.436083,5.502205,1322.722464,0.151445,1.000000,4.335580,1617.745592,2.431910,29.832952,46.807648,1356.762652,2.663208,0.055574,0.047961,1.549193,0.002414,860.889897,0.181584,2.431649,31.211559,26.182240,760.861422,1.485930,0.052937,5.711090,826.632567,0.174358,0.542821,12.607033,0.392640,12.858197,0.018798,49.652778,0.172405,2.737654,34.534722,9867.784722,295003.114583,471.761303,0.058120,44.590278,0.154827,0.395740,13.699593,0.017946,5.943448,0.032975,8948.094859,9.094435,0.002444,8.351522,0.017893,0.071221,0.467070,0.467070,162.968529,8772.000000,76.117664,433.189738,0.049383,8772.000000,1.702346,0.587425,0.548917,107.057017,0.467070,76.117664,162.968529,134.000000,122.000000,181.218101,181.218101,8772.000000,76.117664,1.702346,0.587425,433.189738,0.049383,8772.000000
"fe480ee1-28e0-4235-aec3-f5371574dddc","Annotation","invasive tumor",3778.624756,20979.576172,82.000000,184.000000,526871492.000000,2.692910,56.000000,2.810298,249.000000,135.847168,32.249586,140.000000,27.000000,222.000000,23.106693,141.670499,0.168564,40.200465,526871492.000000,0.180454,1616.077362,26.927571,296.233909,4.714900,10.204001,0.488150,0.908690,0.393426,1.120986,0.333366,0.817042,0.812587,0.994173,0.961479,-0.482066,0.000000,0.328527,4.949607,0.088281,4.086456,0.157405,9.899214,3.542659,2.673038,5.580459,3567.349472,0.135894,1.000000,4.618583,4737.092949,2.671385,27.234848,42.014666,1055.166737,3.110511,0.066361,0.057984,1.814565,0.003277,2993.261476,0.179840,2.543863,30.038272,19.867940,479.957943,1.532417,0.057063,5.451967,3589.566931,0.215667,0.634033,9.917638,0.453441,14.560834,0.023241,186.170384,0.166075,2.987295,34.361285,18615.695807,562174.579839,783.017491,0.056176,180.628903,0.161132,0.400068,13.782258,0.021215,6.318552,0.042703,18067.317232,33.218527,0.000741,9.170319,0.021977,0.021624,0.448645,0.448645,281.910465,26326.000000,126.477809,713.202797,0.027091,26326.000000,1.537557,0.650382,0.779813,216.064299,0.448645,126.477809,281.910465,276.000000,122.000000,301.761495,301.761495,26326.000000,126.477809,1.537557,0.650382,713.202797,0.027091,26326.000000
