ObjectID,group,truth,prediction
2f39e04a-971d-4a76-b573-c5d159aea77e,100B,healthy glands,invasive tumor
9f9825ae-e9a6-4150-b641-79dc98718cee,100B,healthy glands,invasive tumor
4586b634-7d56-4213-8be9-5295942fb916,100B,healthy glands,healthy glands
d8678619-92cd-4e45-a55e-34dd4c5aeacc,100B,healthy glands,healthy glands
3d05e633-f022-4814-83e7-8a5260694339,100B,healthy glands,healthy glands
5bcdd611-07bd-474b-8b4e-a1e3c4774f23,100B,healthy glands,healthy glands
aa4c9a1c-341c-471c-a87e-fae9a47c9815,100B,healthy glands,healthy glands
14490ba0-103e-4eed-9d55-5c5a40cca3b6,100B,healthy glands,healthy glands
6ae4caec-9230-46a7-a4b3-77e02386e33f,100B,healthy glands,tumor-associated stroma
df7749e0-f35b-47c3-ab7a-59e915d8a354,100B,healthy glands,healthy glands
2fb961ad-a5ed-4fa4-b8ee-1bb1cb299491,100B,healthy glands,healthy glands
43c28949-1e5f-4247-b4f3-b83b6d6a6f44,100B,healthy glands,healthy glands
7089da73-0f2c-4875-945c-42cd293d3e8f,100B,healthy glands,healthy glands
ad790a1e-25c8-44fa-8e20-b850d36f68b5,100B,healthy glands,healthy glands
731ece51-db6b-4faf-9249-e259ef0ec0d2,100B,invasive tumor,invasive tumor
dbe43724-4671-4b8d-b05e-bae21aa87418,100B,invasive tumor,invasive tumor
753cabd0-d597-4f9c-ba62-11096fe42b3b,100B,tumor-associated stroma,invasive tumor
8154de4d-9980-4f21-a38b-4af02c1c3ff5,100B,tumor-associated stroma,tumor-associated stroma
66131eca-b819-45fd-8d79-0b32403f14e2,100B,tumor-associated stroma,tumor-associated stroma
e4dec665-34c2-4424-a2a0-dc806059717b,100B,tumor-associated stroma,invasive tumor
58dabdc3-1273-44ff-8db8-ce55ef55d35f,100B,tumor-associated stroma,tumor-associated stroma
61754b06-5ca8-4cf4-934e-319a4ffe04a6,100B,tumor-associated stroma,invasive tumor
48a20ae6-7129-430d-881d-ab982c949851,154B,invasive tumor,invasive tumor
d23ca980-8af9-49dd-8ff4-b73cc6031328,154B,invasive tumor,invasive tumor
04b0c57a-998a-4bef-92c9-526f710ef994,154B,invasive tumor,tumor-associated stroma
5cbdee43-e419-410f-9474-1595453e2b1a,154B,invasive tumor,tumor-associated stroma
ea85d0ee-f298-4814-b880-eb10272d6d99,154B,invasive tumor,tumor-associated stroma
4da19eda-acab-4eab-bb84-341a07cdd153,154B,invasive tumor,tumor-associated stroma
d2a1ecce-9200-48a9-9706-cb13bb2de427,154B,invasive tumor,invasive tumor
9ca97ede-3947-4bae-8cd2-d8d225dbfcf7,154B,invasive tumor,tumor-associated stroma
1cfc3fd7-af1b-4566-9415-3c6171a57f96,154B,invasive tumor,tumor-associated stroma
52fc9787-5c6a-4a18-800a-1894018041d1,154B,invasive tumor,invasive tumor
c67378ef-413a-49b1-b14f-be51c38f4365,154B,invasive tumor,invasive tumor
1a4b6e3a-d747-4b7c-81c4-445d4d83dd99,154B,invasive tumor,invasive tumor
68de106a-a6fb-4b82-b004-39d4d4d58201,154B,invasive tumor,tumor-associated stroma
098d5ac2-7299-4e97-8009-6e3e9f9aa79a,154B,invasive tumor,tumor-associated stroma
290605d1-7e8b-4eac-9303-7a59e7d25e4d,154B,invasive tumor,invasive tumor
dc3027a5-7bd7-43ad-bf24-88665a3a3d52,154B,invasive tumor,invasive tumor
19754125-f5f6-49b0-8007-2b3a8db14baf,154B,invasive tumor,invasive tumor
c17ac360-5d56-4895-b295-4e2fbce23fc2,154B,tumor-associated stroma,tumor-associated stroma
6ebb0901-4247-48ba-b6b9-86cccf8d754b,154B,tumor-associated stroma,tumor-associated stroma
a6f6b6fb-cba5-433f-bc4c-005e03ae77df,198B,healthy glands,invasive tumor
9a9fce85-0069-4c9c-8c99-8ac783550475,198B,healthy glands,invasive tumor
341729e8-a34e-48e8-87a8-fa992c466a59,198B,healthy glands,healthy glands
8d0d687c-c73b-489a-9fd3-a2d9671b0070,198B,healthy glands,healthy glands
0befd167-0b80-4eaf-85bb-2090928c46bc,198B,healthy glands,healthy glands
2e813a93-a2f7-4bf2-b5fa-93c272ff8d49,198B,healthy glands,healthy glands
efd67459-3078-443f-9630-5492b136fdd0,198B,healthy glands,healthy glands
3649c136-5f05-45e8-96de-12e4fe5fcca3,198B,healthy glands,invasive tumor
5b5bc26e-b9f6-4d4c-92d1-5483306d08ed,198B,healthy glands,invasive tumor
1dafb013-70b5-431c-a661-f5ea4706e6ae,198B,healthy glands,healthy glands
f9888441-0cfe-4303-a9b3-76b15ac45b9c,198B,healthy glands,healthy glands
488c7e34-355a-4fe3-90cd-2be7c90325bf,198B,healthy glands,invasive tumor
3c76b4c1-d851-4000-a215-725ff6e310c7,198B,healthy glands,invasive tumor
b27acd13-d26d-42d2-9d1f-5706883a1632,198B,healthy glands,healthy glands
bf8d3780-620c-4475-8e5b-94dfa4574bc5,198B,healthy glands,invasive tumor
80ea42ad-c33e-4358-a93a-83de6dca9565,198B,healthy glands,healthy glands
0fbc7817-e300-4732-a53c-5be93aaeaae3,198B,healthy glands,healthy glands
6ca0c4d1-809e-4ac2-8c0e-15812dc61cc8,198B,healthy glands,invasive tumor
e4def505-924d-4b3d-8e12-675d1f7feb3d,198B,invasive tumor,healthy glands
f61d4ccf-6b9a-4a9c-8552-4bb5bc734b4c,198B,invasive tumor,invasive tumor
2eb142c0-6ead-47fc-b86b-7f0c5324931d,198B,invasive tumor,invasive tumor
d7190e81-4dfa-4550-8ac4-2c959232a6d3,198B,invasive tumor,invasive tumor
9b537691-fe36-41cf-9073-a02071525512,198B,invasive tumor,invasive tumor
164814d0-a895-4553-94ef-d3ede611d2c8,198B,invasive tumor,invasive tumor
f8e5eea6-8204-430e-a393-8ea82746e606,198B,invasive tumor,invasive tumor
6478b2c6-f0a1-45b2-81c7-77ba6c17f7d9,198B,invasive tumor,invasive tumor
bf34fe1e-7ce4-4567-ae22-306721ec098e,198B,invasive tumor,invasive tumor
8090d4f4-05fd-4188-8dc2-f382befdfd65,198B,invasive tumor,invasive tumor
37f20fa7-31ab-4d3f-bac3-74fcf1ceb3ce,198B,invasive tumor,invasive tumor
4370a91f-750f-4d19-a4a1-9f39addc3568,198B,invasive tumor,invasive tumor
e5dd9be6-b5bf-482e-87f5-d60119e8ed0c,198B,invasive tumor,invasive tumor
1dc764ce-74c9-4cd6-82f4-b8a583c373be,198B,invasive tumor,invasive tumor
0775d755-fed3-4d82-8c11-91dda950f0e7,198B,invasive tumor,invasive tumor
41e95495-59b0-4aec-8c52-7b1ad8adf81a,198B,invasive tumor,invasive tumor
8b77cb31-7aa3-44c1-a549-88aef2896f2d,198B,invasive tumor,invasive tumor
f006176c-bd20-4859-8441-3ad020a8c702,198B,invasive tumor,invasive tumor
e39a5edc-6343-4d63-b0f4-1fe5776e82f6,198B,invasive tumor,invasive tumor
1b101ad9-5950-4365-a5a1-cbaad4baa648,198B,invasive tumor,invasive tumor
cf060abd-f546-445f-ba49-0dc1902afc10,198B,invasive tumor,healthy glands
d820dcb9-b6a1-44d4-b7a0-24012b60b7a8,198B,invasive tumor,healthy glands
9120f1d9-48b1-48e3-809e-cd39cbf30c38,198B,invasive tumor,healthy glands
