feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,mean_difference,sd_difference,loa_lower,loa_upper,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
firstorder_10Percentile,firstorder,original_firstorder_10Percentile,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000004,0.0,67.13652244331328,22.79828735912192,exact
firstorder_90Percentile,firstorder,original_firstorder_90Percentile,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999974,-2.934702277235726e-14,111.25784359093012,22.81914371781744,exact
firstorder_Energy,firstorder,original_firstorder_Energy,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.000000000000001,0.0,4507583.076584915,4070273.0433896473,exact
firstorder_Entropy,firstorder,original_firstorder_Entropy,8644,0.9999999999999998,1.0000000000000002,1.0,1.5487880372534368e-15,1.5543122344752192e-15,3.552713678800501e-15,1.5487880372534368e-15,4.659829102694722e-16,6.354615331252713e-16,2.4621145413816024e-15,1.0112965401522907e-15,5.674436959484807e-15,1.0,1.0,1.0000000000000009,0.0,1.5304236381420078,0.31610748929696963,exact
firstorder_InterquartileRange,firstorder,original_firstorder_InterquartileRange,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000022,2.445585231029773e-15,22.860220962517353,7.3556478855717184,exact
firstorder_Kurtosis,firstorder,original_firstorder_Kurtosis,8644,1.0,0.9999999999999999,1.0,8.226156657493897e-15,4.884981308350689e-15,2.0250467969162855e-13,2.2088865776843408e-16,1.448177506111175e-14,-2.8163390462010594e-14,2.860516777754746e-14,1.4461717699732626e-15,5.605909750144294e-14,1.0,1.0,1.0000000000000007,-3.0569815387872115e-16,3.5612798515407045,1.3844201367680555,exact
firstorder_Maximum,firstorder,original_firstorder_Maximum,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999937,-9.782340924119064e-15,145.63304025913928,25.46047922328383,exact
firstorder_Mean,firstorder,original_firstorder_Mean,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999993,9.782340924119099e-15,87.50223589723123,22.999143691300958,exact
firstorder_MeanAbsoluteDeviation,firstorder,original_firstorder_MeanAbsoluteDeviation,8644,0.9999999999999999,1.0,1.0,2.871968691966018e-14,1.7763568394002505e-14,7.318590178329032e-13,2.981829909729018e-16,4.6023956214882413e-14,-8.990877119019663e-14,9.050513717214242e-14,1.3093415188088518e-15,3.5553548827516644e-14,1.0,1.0,1.0000000000000004,3.668377846544658e-15,13.90906796681686,3.973503839476475,exact
firstorder_Median,firstorder,original_firstorder_Median,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999953,-9.782340924119069e-15,85.20609671448403,24.620689309047677,exact
firstorder_Minimum,firstorder,original_firstorder_Minimum,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000033,4.891170462059546e-15,53.961707542804255,20.614625544707987,exact
firstorder_Range,firstorder,original_firstorder_Range,8644,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000029,-9.782340924119097e-15,91.67133271633503,25.906416976598205,exact
firstorder_RobustMeanAbsoluteDeviation,firstorder,original_firstorder_RobustMeanAbsoluteDeviation,8644,0.9999999999999999,1.0000000000000002,1.0,1.3853744106957234e-14,7.993605777301127e-15,2.6290081223123707e-13,1.6075371791078736e-16,2.2620959914147043e-14,-4.417632771381742e-14,4.449783514963899e-14,8.788968272123471e-16,2.1167192304405085e-14,1.0,1.0,0.9999999999999988,-1.8341889232723273e-15,9.777192818781113,2.9912788692538026,exact
firstorder_RootMeanSquared,firstorder,original_firstorder_RootMeanSquared,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,89.5161990944422,22.45412482007214,exact
firstorder_Skewness,firstorder,original_firstorder_Skewness,8644,1.0,0.9999999999999999,1.0,1.5470763796783778e-15,7.771561172376096e-16,3.7636560534792807e-14,2.186732867988116e-17,2.776135141007406e-15,-5.419357547694635e-15,5.4630922050543965e-15,1.6652700865133826e-15,2.6266746272617214e-12,1.0,1.0,1.0000000000000004,7.642453846968036e-17,0.612257102035628,0.6147026624608012,exact
firstorder_StandardDeviation,firstorder,original_firstorder_StandardDeviation,8644,1.0,1.0,1.0,7.209513977123934e-15,3.552713678800501e-15,2.7355895326763857e-13,-2.711595152231178e-16,1.3287994343506481e-14,-2.631562842849582e-14,2.5773309398049586e-14,2.6886762459236727e-16,1.5077322458501293e-14,1.0,1.0,0.9999999999999996,0.0,17.536715769185474,4.91928086555205,exact
firstorder_TotalEnergy,firstorder,original_firstorder_TotalEnergy,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.000000000000001,0.0,4507583.076584915,4070273.0433896473,exact
firstorder_Uniformity,firstorder,original_firstorder_Uniformity,8644,1.0,1.0,1.0,1.8302496646122721e-19,0.0,1.1102230246251565e-16,3.532060756269297e-20,4.190208801681241e-18,-8.177488643732539e-18,8.248129858857924e-18,0.0,4.1138259372115744e-16,1.0,1.0,0.9999999999999997,0.0,0.41398284133123603,0.0980516661356449,exact
firstorder_Variance,firstorder,original_firstorder_Variance,8644,1.0,1.0000000000000002,1.0,2.7055739519310364e-13,1.5631940186722204e-13,1.1482370609883219e-11,-5.6681483508026036e-15,5.22367393640569e-13,-1.029508239886318e-12,1.0181719431847127e-12,5.561252249120741e-16,3.0217937543392624e-14,1.0,1.0,0.9999999999999993,0.0,331.7357242033849,188.80602480132507,exact
glcm_Autocorrelation,glcm,original_glcm_Autocorrelation,8644,1.0,1.0,1.0,6.904857682074088e-16,4.440892098500626e-16,8.881784197001252e-15,-6.678805793672853e-19,1.1717893650891452e-15,-2.2973750361540916e-15,2.2960392749953574e-15,1.1494143254185128e-16,8.607717713208069e-16,1.0,1.0,0.9999999999999991,1.2227926155148887e-15,5.93975578556879,2.7745067938649033,exact
glcm_ClusterProminence,glcm,original_glcm_ClusterProminence,8644,0.9999999999999999,1.0000000000000002,1.0,4.9555005068317674e-15,1.1102230246251565e-15,2.5579538487363607e-13,8.065942381589522e-17,1.2662549639570006e-14,-2.4737937869741315e-14,2.4899256717373107e-14,1.7837951246892898e-16,2.6496735264110466e-15,1.0,1.0,1.0000000000000007,-2.4455852310297704e-15,16.269120922712993,21.734002708579904,exact
glcm_ClusterShade,glcm,original_glcm_ClusterShade,8644,0.9999999999999999,1.0,1.0,2.6123056130654895e-15,1.3322676295501878e-15,4.973799150320701e-14,2.548682863553662e-17,4.5719300318132805e-15,-8.935496033718492e-15,8.986469690989566e-15,1.2277348778947312e-15,2.299377762880095e-11,1.0,1.0,0.9999999999999997,0.0,1.5715592354544132,2.7827764529602486,exact
glcm_ClusterTendency,glcm,original_glcm_ClusterTendency,8644,1.0,1.0000000000000002,1.0,3.0340401896353264e-16,2.220446049250313e-16,5.329070518200751e-15,-4.052236976738048e-18,5.173310965477192e-16,-1.0180211862102677e-15,1.0099167122567917e-15,1.3581101497540317e-16,1.0235715611316268e-15,1.0,1.0,1.0000000000000009,3.056981538787217e-16,1.9388822697071606,1.0380185115908038,exact
glcm_Contrast,glcm,original_glcm_Contrast,8644,1.0,1.0,1.0,3.546510095726762e-17,0.0,4.440892098500626e-16,-1.165580049568868e-18,6.574099365332283e-17,-1.3001792761008161e-16,1.2768676751094387e-16,0.0,1.5016922890372581e-15,1.0,1.0,1.0000000000000007,5.731840385226028e-17,0.3051008330734623,0.11800874094085691,exact
glcm_Correlation,glcm,original_glcm_Correlation,8644,1.0,0.9999999999999998,1.0,3.5004728947331163e-16,3.3306690738754696e-16,3.497202527569243e-15,3.381330063495505e-16,2.4531953625317097e-16,-1.426932847066646e-16,8.189592974057656e-16,4.664405094249761e-16,1.4300155262835106e-14,1.0,1.0,0.9999999999999996,6.87820846227123e-16,0.7024316087416954,0.09365057004195065,exact
glcm_DifferenceAverage,glcm,original_glcm_DifferenceAverage,8644,1.0,1.0,1.0,1.5393362968686374e-17,0.0,2.220446049250313e-16,-7.70631437731483e-20,4.0937303862746045e-17,-8.031417871475539e-17,8.01600524272091e-17,0.0,7.182258008942815e-16,1.0,1.0,0.9999999999999988,-9.553067308710067e-17,0.28115084994877,0.08655180915996569,exact
glcm_DifferenceEntropy,glcm,original_glcm_DifferenceEntropy,8644,1.0,1.0,1.0,1.0012352684080025e-15,9.992007221626409e-16,2.4424906541753444e-15,1.0012352684080025e-15,2.6999661266964737e-16,4.720419075754937e-16,1.5304286292405113e-15,1.1339280403354903e-15,4.156434937285506e-15,1.0,1.0,1.000000000000001,2.292736154090411e-16,0.8769567600144341,0.16597349213278756,exact
glcm_DifferenceVariance,glcm,original_glcm_DifferenceVariance,8644,0.9999999999999998,1.0,1.0,9.355144557627815e-18,0.0,1.942890293094024e-16,1.0435634052613833e-19,3.1519548747243597e-17,-6.167395920407131e-17,6.188267188512358e-17,0.0,8.649682658028026e-16,1.0,1.0,0.9999999999999997,0.0,0.21856381697768335,0.0671824538073398,exact
glcm_Id,glcm,original_glcm_Id,8644,0.9999999999999998,1.0,1.0,1.1237090747854574e-16,1.1102230246251565e-16,8.881784197001252e-16,3.711874758406643e-18,1.5789388270739836e-16,-3.0576013534809413e-16,3.131838848649074e-16,1.281723436263075e-16,1.2111325735525047e-15,1.0,1.0,1.0000000000000002,1.52849076939361e-16,0.8632068706763611,0.03930074765027502,exact
glcm_Idm,glcm,original_glcm_Idm,8644,1.0,1.0000000000000002,1.0,1.1152321289704111e-16,1.1102230246251565e-16,6.661338147750939e-16,3.2109643238811795e-19,1.5654044159644007e-16,-3.0649816909663444e-16,3.0714036196141067e-16,1.2818604291227842e-16,9.151145396789803e-16,1.0,1.0,0.9999999999999998,1.5284907693936075e-16,0.8618124986618437,0.040661860046631464,exact
glcm_Idmn,glcm,original_glcm_Idmn,8644,0.9999999999999997,1.0000000000000002,1.0,1.1595434366399715e-16,0.0,7.771561172376096e-16,1.1045717274151257e-18,1.851096468736456e-16,-3.6171033614493024e-16,3.639194795997605e-16,0.0,7.870722865751545e-16,1.0,1.0,1.0000000000000007,-7.642453846968043e-16,0.9861364022685587,0.005508636893992303,exact
glcm_Idn,glcm,original_glcm_Idn,8644,1.0,1.0,1.0,1.146828017917402e-16,0.0,8.881784197001252e-16,-2.915555606084111e-18,1.8314970439876148e-16,-3.6188897622765664e-16,3.560578650154884e-16,0.0,9.288852776909085e-16,1.0,1.0,1.0,4.585472308180819e-16,0.9507765897417304,0.012462807901500339,exact
glcm_Imc1,glcm,original_glcm_Imc1,8644,1.0,0.9999999999999999,1.0,1.2637135663209834e-14,7.993605777301127e-15,2.922107000813412e-13,-1.2631638391944715e-14,1.5522210466329945e-14,-4.305517090595141e-14,1.779189412206198e-14,2.4836340767516154e-14,1.700898693036173e-12,1.0,1.0,1.0000000000000082,-9.935190001058444e-15,-0.330262983969249,0.08362374526021049,exact
glcm_Imc2,glcm,original_glcm_Imc2,8644,1.0,0.9999999999999997,1.0,1.0277486032251874e-15,8.881784197001252e-16,8.43769498715119e-15,1.0002996747024892e-15,8.248576474573966e-16,-6.164213143140082e-16,2.6170206637189865e-15,1.1047720697566203e-15,4.409611069552717e-13,1.0,1.0,0.9999999999999996,1.8341889232723316e-15,0.7715382361649255,0.09621931206091412,exact
