feature,cls,pyradiomics,mapping,dimensionality,default_on,breast_n,breast_r,breast_ccc,breast_icc,breast_max_rel_err,breast_median_rel_err,breast_status,puma_n,puma_r,puma_ccc,puma_icc,puma_max_rel_err,puma_median_rel_err,puma_status,default_agg_max_rel_err,notes
firstorder_10Percentile,firstorder,original_firstorder_10Percentile,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_90Percentile,firstorder,original_firstorder_90Percentile,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_Energy,firstorder,original_firstorder_Energy,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_Entropy,firstorder,original_firstorder_Entropy,direct,2D,yes,410,1.0,1.0,1.0,5.778207572631915e-15,9.178747934740523e-16,exact,8644,0.9999999999999998,1.0000000000000002,1.0,5.674436959484807e-15,1.0112965401522907e-15,exact,5.778207572631915e-15,
firstorder_InterquartileRange,firstorder,original_firstorder_InterquartileRange,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_Kurtosis,firstorder,original_firstorder_Kurtosis,direct,2D,yes,410,1.0,1.0,1.0,7.291171653952586e-15,8.042044981833437e-16,exact,8644,1.0,0.9999999999999999,1.0,5.605909750144294e-14,1.4461717699732626e-15,exact,7.291171653952586e-15,
firstorder_Maximum,firstorder,original_firstorder_Maximum,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_Mean,firstorder,original_firstorder_Mean,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_MeanAbsoluteDeviation,firstorder,original_firstorder_MeanAbsoluteDeviation,direct,2D,yes,410,0.9999999999999998,1.0,1.0,8.31788494188579e-15,6.706690500207285e-16,exact,8644,0.9999999999999999,1.0,1.0,3.5553548827516644e-14,1.3093415188088518e-15,exact,8.31788494188579e-15,
firstorder_Median,firstorder,original_firstorder_Median,direct,2D,yes,410,0.9999999999999998,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_Minimum,firstorder,original_firstorder_Minimum,direct,2D,yes,410,0.9999999999999998,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_Range,firstorder,original_firstorder_Range,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,0.9999999999999999,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_RobustMeanAbsoluteDeviation,firstorder,original_firstorder_RobustMeanAbsoluteDeviation,direct,2D,yes,410,1.0,1.0000000000000002,1.0,6.815048641775794e-15,4.3251843827818935e-16,exact,8644,0.9999999999999999,1.0000000000000002,1.0,2.1167192304405085e-14,8.788968272123471e-16,exact,6.815048641775794e-15,
firstorder_RootMeanSquared,firstorder,original_firstorder_RootMeanSquared,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_Skewness,firstorder,original_firstorder_Skewness,direct,2D,yes,410,0.9999999999999998,1.0,1.0,1.10828877199444e-13,8.692144094581138e-16,exact,8644,1.0,0.9999999999999999,1.0,2.6266746272617214e-12,1.6652700865133826e-15,exact,1.10828877199444e-13,
firstorder_StandardDeviation,firstorder,original_firstorder_StandardDeviation,direct,2D,yes,410,0.9999999999999997,1.0,1.0,1.6447550169645063e-15,1.6588024910879884e-16,exact,8644,1.0,1.0,1.0,1.5077322458501293e-14,2.6886762459236727e-16,exact,1.6447550169645063e-15,optional in PyRadiomics (must be enabled explicitly)
firstorder_TotalEnergy,firstorder,original_firstorder_TotalEnergy,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
firstorder_Uniformity,firstorder,original_firstorder_Uniformity,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,4.1138259372115744e-16,0.0,exact,0.0,
firstorder_Variance,firstorder,original_firstorder_Variance,direct,2D,yes,410,0.9999999999999997,1.0,1.0,3.5331348372798753e-15,3.391010152174026e-16,exact,8644,1.0,1.0000000000000002,1.0,3.0217937543392624e-14,5.561252249120741e-16,exact,3.5331348372798753e-15,
glcm_Autocorrelation,glcm,original_glcm_Autocorrelation,direct,2D,yes,410,0.9999999999999998,1.0,1.0,5.895219335436503e-16,0.0,exact,8644,1.0,1.0,1.0,8.607717713208069e-16,1.1494143254185128e-16,exact,0.009465285545878534,
glcm_ClusterProminence,glcm,original_glcm_ClusterProminence,direct,2D,yes,410,1.0,1.0,1.0,2.3528115142058926e-15,1.5675585966792828e-16,exact,8644,0.9999999999999999,1.0000000000000002,1.0,2.6496735264110466e-15,1.7837951246892898e-16,exact,0.07435576360574239,
glcm_ClusterShade,glcm,original_glcm_ClusterShade,direct,2D,yes,410,1.0,0.9999999999999998,1.0,2.958024829092982e-12,1.3437057808563944e-15,exact,8644,0.9999999999999999,1.0,1.0,2.299377762880095e-11,1.2277348778947312e-15,exact,6.370348741497454,
glcm_ClusterTendency,glcm,original_glcm_ClusterTendency,direct,2D,yes,410,1.0,1.0000000000000002,1.0,6.517115081152471e-16,1.2758314601232663e-16,exact,8644,1.0,1.0000000000000002,1.0,1.0235715611316268e-15,1.3581101497540317e-16,exact,0.029233259279575537,
glcm_Contrast,glcm,original_glcm_Contrast,direct,2D,yes,410,1.0,0.9999999999999999,1.0,9.749145934989656e-16,0.0,exact,8644,1.0,1.0,1.0,1.5016922890372581e-15,0.0,exact,0.05879763551905337,
glcm_Correlation,glcm,original_glcm_Correlation,direct,2D,yes,410,1.0,0.9999999999999999,1.0,2.935048037944292e-14,5.476576779452295e-16,exact,8644,1.0,0.9999999999999998,1.0,1.4300155262835106e-14,4.664405094249761e-16,exact,0.2106146973679292,
glcm_DifferenceAverage,glcm,original_glcm_DifferenceAverage,direct,2D,yes,410,1.0,1.0000000000000002,1.0,5.351016787292179e-16,0.0,exact,8644,1.0,1.0,1.0,7.182258008942815e-16,0.0,exact,0.04932164046331119,
glcm_DifferenceEntropy,glcm,original_glcm_DifferenceEntropy,direct,2D,yes,410,0.9999999999999999,1.0,1.0,4.081637226182424e-15,1.0296726654519502e-15,exact,8644,1.0,1.0,1.0,4.156434937285506e-15,1.1339280403354903e-15,exact,0.10414701161523499,
glcm_DifferenceVariance,glcm,original_glcm_DifferenceVariance,direct,2D,yes,410,1.0,1.0,1.0,5.996182137998283e-16,0.0,exact,8644,0.9999999999999998,1.0,1.0,8.649682658028026e-16,0.0,exact,0.13730799230551288,
glcm_Id,glcm,original_glcm_Id,direct,2D,yes,410,1.0,0.9999999999999998,1.0,4.4376158962885267e-16,1.2649401193256212e-16,exact,8644,0.9999999999999998,1.0,1.0,1.2111325735525047e-15,1.281723436263075e-16,exact,0.013238004295868275,
glcm_Idm,glcm,original_glcm_Idm,direct,2D,yes,410,1.0,1.0,1.0,7.76349520333367e-16,1.2704545557905274e-16,exact,8644,1.0,1.0000000000000002,1.0,9.151145396789803e-16,1.2818604291227842e-16,exact,0.013847382111380008,
glcm_Idmn,glcm,original_glcm_Idmn,direct,2D,yes,410,1.0,1.0,1.0,6.801930509629289e-16,0.0,exact,8644,0.9999999999999997,1.0000000000000002,1.0,7.870722865751545e-16,0.0,exact,0.002759762475830802,
glcm_Idn,glcm,original_glcm_Idn,direct,2D,yes,410,1.0,1.0,1.0,5.912814281299479e-16,0.0,exact,8644,1.0,1.0,1.0,9.288852776909085e-16,0.0,exact,0.00603861522888269,
glcm_Imc1,glcm,original_glcm_Imc1,direct,2D,yes,410,1.0,1.0,1.0,1.612812110006482e-13,1.2497638170324542e-14,exact,8644,1.0,0.9999999999999999,1.0,1.700898693036173e-12,2.4836340767516154e-14,exact,0.5714370907027106,
