fold,test_groups,n_train,n_test,n_features,macro_f1,accuracy,F1[Lymphocyte],F1[Tumor],n_classes,Support[Lymphocyte],Support[Tumor],dataset,F1[healthy glands],F1[invasive tumor],F1[tumor-associated stroma],Support[healthy glands],Support[invasive tumor],Support[tumor-associated stroma]
1,"[3.0, 6.0, 10.0, 13.0]",4945,1241,63,0.8558850717041031,0.8589846897663175,0.8347497639282342,0.8770203794799719,2,549.0,692.0,PUMA,,,,,,
2,"[12.0, 16.0, 17.0, 20.0]",4962,1224,62,0.8052663511709743,0.8553921568627451,0.7064676616915423,0.9040650406504065,2,361.0,863.0,PUMA,,,,,,
3,"[4.0, 5.0, 9.0, 11.0]",4976,1210,63,0.8404164084159109,0.8404958677685951,0.8439773645917542,0.8368554522400676,2,610.0,600.0,PUMA,,,,,,
4,"[1.0, 7.0, 8.0, 18.0]",4940,1246,62,0.860922817020378,0.8812199036918138,0.8077922077922078,0.9140534262485482,2,357.0,889.0,PUMA,,,,,,
5,"[2.0, 14.0, 15.0, 19.0]",4921,1265,63,0.8292495077177158,0.9193675889328063,0.7052023121387283,0.9532967032967034,2,179.0,1086.0,PUMA,,,,,,
1,['198B'],128,69,37,0.6865929969378245,0.6956521739130435,,,3,,,TIGER,0.5714285714285714,0.7297297297297297,0.7586206896551724,18.0,34.0,17.0
2,"['207B', '234B']",132,65,39,0.6410927056088347,0.7076923076923077,,,2,,,TIGER,0.0,0.7956989247311828,0.4864864864864865,0.0,40.0,25.0
3,"['100B', '154B', '242B']",134,63,43,0.7548515891778304,0.7301587301587301,,,3,,,TIGER,0.88,0.7037037037037037,0.6808510638297872,14.0,29.0,20.0
1,['100B'],175,22,45,0.4755799755799755,0.5909090909090909,,,3,,,TIGER LOWO,0.8333333333333334,0.3076923076923077,0.2857142857142857,14.0,2.0,6.0
2,['154B'],178,19,45,0.47384615384615386,0.5263157894736842,,,2,,,TIGER LOWO,0.0,0.64,0.3076923076923077,0.0,17.0,2.0
3,['198B'],128,69,37,0.6865929969378245,0.6956521739130435,,,3,,,TIGER LOWO,0.5714285714285714,0.7297297297297297,0.7586206896551724,18.0,34.0,17.0
4,['207B'],138,59,41,0.6424242424242425,0.711864406779661,,,2,,,TIGER LOWO,0.0,0.8,0.48484848484848486,0.0,35.0,24.0
5,['234B'],191,6,45,0.4857142857142857,0.5,,,2,,,TIGER LOWO,0.0,0.5714285714285714,0.4,0.0,5.0,1.0
6,['242B'],175,22,43,0.8610526315789473,0.8636363636363636,,,2,,,TIGER LOWO,0.0,0.8421052631578947,0.88,0.0,10.0,12.0
