group,n,accuracy,macro_f1,n_classes,Support[Lymphocyte],Support[Tumor],dataset,Support[healthy glands],Support[invasive tumor],Support[tumor-associated stroma]
1,405,0.8592592592592593,0.8546659867414584,2,226.0,179.0,PUMA,,,
2,410,0.9804878048780488,0.7450248756218906,2,5.0,405.0,PUMA,,,
3,617,0.880064829821718,0.8664502164502164,2,226.0,391.0,PUMA,,,
4,215,0.8093023255813954,0.8044110142226364,2,96.0,119.0,PUMA,,,
5,324,0.8734567901234568,0.7514547121447415,2,294.0,30.0,PUMA,,,
6,156,0.8782051282051282,0.8749947281852305,2,74.0,82.0,PUMA,,,
7,163,0.7055214723926381,0.615112160566706,2,19.0,144.0,PUMA,,,
8,475,0.9431578947368421,0.7095064440870688,2,25.0,450.0,PUMA,,,
9,553,0.8264014466546112,0.8120113314447592,2,166.0,387.0,PUMA,,,
10,243,0.7983539094650206,0.7552266419981499,2,50.0,193.0,PUMA,,,
11,118,0.8728813559322034,0.871319520174482,2,54.0,64.0,PUMA,,,
12,133,0.9624060150375939,0.9535776614310646,2,38.0,95.0,PUMA,,,
13,225,0.8533333333333334,0.7562456912117134,2,199.0,26.0,PUMA,,,
14,183,0.9453551912568307,0.9003267973856209,2,32.0,151.0,PUMA,,,
15,445,0.9056179775280899,0.8415242165242165,2,68.0,377.0,PUMA,,,
16,573,0.8080279232111692,0.6694600604128209,2,143.0,430.0,PUMA,,,
17,198,0.8686868686868687,0.8563616071428571,2,82.0,116.0,PUMA,,,
18,203,0.9211822660098522,0.917479674796748,2,87.0,116.0,PUMA,,,
19,227,0.8149779735682819,0.7448619139370585,2,74.0,153.0,PUMA,,,
20,320,0.8875,0.8635782293591019,2,98.0,222.0,PUMA,,,
100B,22,0.7272727272727273,0.6414814814814815,3,,,TIGER,14.0,2.0,6.0
154B,19,0.5789473684210527,0.34188034188034183,2,,,TIGER,0.0,17.0,2.0
198B,69,0.6956521739130435,0.6865929969378245,3,,,TIGER,18.0,34.0,17.0
207B,59,0.711864406779661,0.4282828282828283,2,,,TIGER,0.0,35.0,24.0
234B,6,0.6666666666666666,0.4166666666666667,2,,,TIGER,0.0,5.0,1.0
242B,22,0.8636363636363636,0.5740350877192982,2,,,TIGER,0.0,10.0,12.0
100B,22,0.5909090909090909,0.4755799755799755,3,,,TIGER LOWO,14.0,2.0,6.0
154B,19,0.5263157894736842,0.3158974358974359,2,,,TIGER LOWO,0.0,17.0,2.0
198B,69,0.6956521739130435,0.6865929969378245,3,,,TIGER LOWO,18.0,34.0,17.0
207B,59,0.711864406779661,0.4282828282828283,2,,,TIGER LOWO,0.0,35.0,24.0
234B,6,0.5,0.3238095238095238,2,,,TIGER LOWO,0.0,5.0,1.0
242B,22,0.8636363636363636,0.5740350877192982,2,,,TIGER LOWO,0.0,10.0,12.0
